variable,label,description,unit,method
temperature,Temperature (C),surface soil temperature,celsius,in-situ digital probe measurement
gravimetric.moisture,Gravitational moisture (%),soil gravitational moisture,mass percent (%; g water/g soil),mass difference between field moist and oven-dry soil after 24 hours at 105 degrees celsius divided by oven-dry soil mass without coarse material (>= 2 mm)
volumetric.moisture,Volumetric moisture (g/cm3),soil volumetric moisture,g water/cm3 soil,mass difference between field moist and oven-dry soil after 24 hours at 105 degrees celsius divided by the steel core volume minus coarse material  (>= 2 mm) volume
bulk.density,Bulk density (g/cm3),soil bulk density,g soil/cm3 soil,mass of oven-dry soil after 24 hours at 105 degrees celsius minus coarse material  (>= 2 mm) mass divided by steel core volume minus coarse material  (>= 2 mm) volume
root.fragment.density,Root and wood fragment density (g/cm3),coarse root and wood fragment density,g coarse roots and wood fragments/cm3 soil,oven-dry (48 h at 24 degrees C) coarse roots and wood fragments (>= 2 mm) mass divided by steel core volume minus coarse material  (>= 2 mm) volume
sand,Sand (%),sand percent,mass percent (%; g sand/g soil),hydrometer method
silt,Silt (%),silt percent,mass percent (%; g silt/g soil),hydrometer method
clay,Clay (%),clay percent,mass percent (%; g clay/g soil),hydrometer method
texture.class,Texture class,soil texture classification,"one of twelve descriptive categories based on sand, silt, and clay percent",US Department of Agriculture soil texture classification
ph,pH,pH,pH on 1 to 14 scale (-log[H+]),1:1 water to soil solution
p,P (ppm),phosphorus concentration,parts per million (1 kg P/1000 m3 of soil solution),mehlich 3 extraction followed by concentration measurement with inductively coupled plasma spectrometer
k,K (ppm),potassium concentration,parts per million (1 kg K/1000 m3 of soil solution),mehlich 3 extraction followed by concentration measurement with inductively coupled plasma spectrometer
ca,Ca (ppm),calcium concentration,parts per million (1 kg Ca/1000 m3 of soil solution),mehlich 3 extraction followed by concentration measurement with inductively coupled plasma spectrometer
mg,Mg (ppm),magnesium concentration,parts per million (1 kg Mg/1000 m3 of soil solution),mehlich 3 extraction followed by concentration measurement with inductively coupled plasma spectrometer
som.percent,SOM (%),soil organic matter concentration,mass percent (%; g organic matter/g soil),loss on ignition at 405 degrees celsis for 2.5 hours
no3.n,NO3-N (ppm),nitrate-nitrogen concentration,parts per million (1 kg NO3-N/1000 m3 of soil solution),extraction with 2 molar potassium chloride (KCl) solution followed by concentration measruement with a flow injection analyzer
nh4.n,NH4-N (ppm),ammonium-nitrogen concentration,parts per million (1 kg NH4-N/1000 m3 of soil solution),extraction with 2 molar potassium chloride (KCl) solution followed by concentration measruement with a flow injection analyzer
