"full.treatment.name","treatment","strip","plot","quadrat","temperature","gravimetric.moisture","volumetric.moisture","bulk.density","root.fragment.density","sand","silt","clay","texture.class","ph","p","k","ca","mg","som.percent","no3.n","nh4.n","cec","k.meq","ca.meq","mg.meq","h.meq","tn.percent","tc.percent","toc.percent","poc.percent","elevation.mean","vegetation.height.mean","fpom","g475mm","g2mm","g250um","g53um","l53um","mwd","tic.percent","maoc.percent","poc.maoc.ratio","cn.ratio","tc.stock","toc.stock","maoc.stock","poc.stock","tic.stock"
"Balled-and-burlapped","A","1","1","Q1",16,28.9209590654354,0.283083068565434,0.978816324607152,0.000254590890510189,32,53,15,"Silt Loam",7.7,85,40,6986,380,4,10.2,1,38.2,0.1,34.9,3.2,0,0.26,3.78,2.75,0.53,175.788766479492,0.077419353276491,0.0996803251970929,8.45199445378671,22.2261208304966,51.7839289398898,10.3368497229385,7.1014257276913,1.88905763018001,1.03,2.22,0.238738738738739,14.5384615384615,110.997771210451,80.7523467800901,65.1891672188363,15.5631795612537,30.245424430361
"Balled-and-burlapped","A","1","1","Q2",16.6,30.3814062812658,0.302503102964929,0.995684992868361,8.52521661714219e-05,40,45,15,"Loam",7.6,94,47,7115,458,4.4,9.8,1,39.5,0.1,35.6,3.8,0,0.28,4.02,2.91,0.54,175.735300064087,14.2016125917435,0.0897122926773836,9.9710229294652,30.8097929938687,42.2539914494217,8.21365879624046,8.66182153832658,2.16557970488643,1.11,2.37,0.227848101265823,14.3571428571429,120.079610139924,86.9232998774079,70.7932029929405,16.1300968844675,33.1563102625164
"Balled-and-burlapped","A","1","1","Q3",16.3,28.4624284379678,0.2826998619552,0.993238727227114,0.0010574101482461,33,46,21,"Loam",7.6,130,68,5960,513,5,10.2,1.9,34.2,0.2,29.8,4.3,0,0.28,3.96,2.88,0.46,175.670124053955,0.070866138674319,0.109648357716802,4.65068525239557,28.4040083452368,52.0294415808502,7.60560881253819,7.20060765126239,1.85387834265511,1.08,2.42,0.190082644628099,14.1428571428571,117.996760794581,85.8158260324227,72.1091315966885,13.7066944357342,32.1809347621585
"Balled-and-burlapped","A","1","1","Q4",15.6,28.5156346019615,0.271386295910107,0.95171052546535,3.76816378469341e-05,39,42,19,"Loam",7.7,121,60,6077,505,4.7,7.5,1.2,34.7,0.2,30.4,4.2,0,0.27,3.92,3.07,0.59,175.60563659668,15.9197354316711,0.318977040630697,7.82161607724029,25.7210127122319,49.8700666961056,9.09084565797487,7.17748181581668,1.94342511814611,0.85,2.48,0.237903225806452,14.5185185185185,111.921157794725,87.6525393953587,70.807263094622,16.8452763007367,24.2686183993664
"Balled-and-burlapped","A","1","1","Q5",16,25.1966228549687,0.210572924601104,0.835718841422353,0.00286259392874656,33,48,19,"Loam",7.8,109,56,6114,518,5.6,11.8,1,35,0.1,30.6,4.3,0,0.29,4.01,3,0.77,175.360939025879,18.1497330665588,0.219296715433604,2.56008979203694,20.9094434149682,52.2575101649012,12.0412836034836,12.0123763091765,1.47822225323388,1.01,2.23,0.345291479820628,13.8275862068966,100.536976623109,75.2146957280117,55.9095904911554,19.3051052368563,25.3222808950973
"Balled-and-burlapped","A","2","2","Q1",17.7,23.7462979175204,0.256606625908722,1.08061739476196,0.000688771308665402,37,48,15,"Loam",7.8,118,53,7652,505,5.1,9.7,1,42.6,0.1,38.3,4.2,0,0.29,4.21,2.77,0.565,175.808555154239,1.08042849600315,0.149520487795639,10.4267613762663,21.8526186519831,52.5006304780569,8.89148500758069,6.1789839983174,2.00797204066559,1.44,2.205,0.256235827664399,14.5172413793103,136.481976958435,89.7993055047187,71.4828406635035,18.3164648412152,46.6826714537166
"Balled-and-burlapped","A","2","2","Q2",16.6,34.527160883099,0.273447523158046,0.791978014305539,0,41,42,17,"Loam",7.7,101,76,7797,471,5.1,23.1,1,43.1,0.2,39,3.9,0,0.29,4.23,2.93,0.705,175.468885421753,4.1167131960392,0.269136878032151,9.44969482868441,20.8341847694444,48.8732634441347,4.70481166897759,15.8689084107268,1.86672904545124,1.3,2.225,0.31685393258427,14.5862068965517,100.502010015373,69.6148674574569,52.8645324548947,16.7503350025621,30.887142557916
"Balled-and-burlapped","A","2","2","Q3",15.9,26.2662321294218,0.258536627644856,0.984292784633009,0.000133476757469708,40,45,15,"Loam",7.6,122,62,7340,536,5,8.4,1,41.3,0.2,36.7,4.5,0,0.26,4.12,2.73,0.51,175.491005392636,9.31757472543156,0.0697762276379651,2.1224931644217,13.2602743003189,60.2567565816427,14.2941586332631,9.99654109271566,1.28503644213009,1.39,2.22,0.22972972972973,15.8461538461538,121.65858818064,80.6135790614434,65.5538994565584,15.059679604885,41.0450091191965
"Balled-and-burlapped","A","2","2","Q4",17.5,24.9956211547187,0.22778725125459,0.911308624197112,9.74054043574353e-05,42,43,15,"Loam",7.6,112,83,7323,597,5.8,9.7,1,41.8,0.2,36.6,5,0,0.27,4.07,2.77,0.55,175.323975626628,0.060350518425306,0.0996803251970929,10.0612336237686,26.81251227314,46.6285622010213,7.77506536537325,8.62294621149972,2.0849615622698,1.3,2.22,0.247747747747748,15.0740740740741,111.270783014467,75.72974667078,60.6931543715276,15.0365922992523,35.5410363436874
"Balled-and-burlapped","A","2","2","Q5",17.4,28.6393717160093,0.264244676810951,0.922662268681119,0.000611524655122017,36,45,19,"Loam",7.7,101,67,7349,510,6.6,11.8,1,41.2,0.2,36.7,4.3,0,0.32,4.41,3.24,0.685,175.415852546692,0.919545339187607,0.129584422756221,5.00724177562557,20.5561763424697,58.0100617320254,8.5824759994697,7.71445972765341,1.68064259220679,1.17,2.555,0.268101761252446,13.78125,122.068218146512,89.6827725158048,70.7220628944078,18.960709621397,32.3854456307073
