elpd_diff,se_diff,elpd,se_elpd,p,se_p,ic,se_ic,variable,variable.label,criterion,model,best.model,model.label
0,0,144.8748345,9.823460592,16.20414737,3.410539829,-289.7496689,19.64692118,temperature,Temperature (C),WAIC,strip.plot.random,Yes,Strip and plot random effects
-10.21714101,4.579157079,134.6576935,10.27676478,10.01743067,2.397229133,-269.3153869,20.55352956,temperature,Temperature (C),WAIC,strip.random,No,Strip random effects
-11.11096782,4.869205513,133.7638666,10.34447501,7.731114194,2.180794549,-267.5277333,20.68895003,temperature,Temperature (C),WAIC,simple,No,Fixed effects only
0,0,144.1543007,10.03245816,16.92468117,3.622927009,-288.3086013,20.06491631,temperature,Temperature (C),LOO,strip.plot.random,Yes,Strip and plot random effects
-9.700327058,4.629279278,134.4539736,10.34601795,10.22115052,2.467929322,-268.9079472,20.6920359,temperature,Temperature (C),LOO,strip.random,No,Strip random effects
-10.49177475,4.911102254,133.6625259,10.39420451,7.832454921,2.233686319,-267.3250518,20.78840902,temperature,Temperature (C),LOO,simple,No,Fixed effects only
0,0,53.22704268,11.1424287,11.25031514,2.752293459,-106.4540854,22.28485741,gravimetric.moisture,Gravitational moisture (%),WAIC,strip.random,Yes,Strip random effects
-0.532920791,0.898992219,52.69412189,11.3023096,13.71066024,3.398534676,-105.3882438,22.6046192,gravimetric.moisture,Gravitational moisture (%),WAIC,strip.plot.random,No,Strip and plot random effects
-2.924695437,2.583004669,50.30234725,10.55438157,7.795755979,2.11729776,-100.6046945,21.10876314,gravimetric.moisture,Gravitational moisture (%),WAIC,simple,No,Fixed effects only
0,0,53.008102,11.20926778,11.46925582,2.82080854,-106.016204,22.41853557,gravimetric.moisture,Gravitational moisture (%),LOO,strip.random,Yes,Strip random effects
-0.825302658,0.963929059,52.18279934,11.48222279,14.22198279,3.581151639,-104.3655987,22.96444557,gravimetric.moisture,Gravitational moisture (%),LOO,strip.plot.random,No,Strip and plot random effects
-2.836098757,2.587567251,50.17200324,10.61444567,7.926099982,2.181689442,-100.3440065,21.22889134,gravimetric.moisture,Gravitational moisture (%),LOO,simple,No,Fixed effects only
0,0,77.62809815,7.052241266,9.124782149,1.389617965,-155.2561963,14.10448253,bulk.density,Bulk density (g/cm3),WAIC,strip.random,Yes,Strip random effects
-0.070207589,0.929377436,77.55789056,7.275594027,6.799051908,1.135869206,-155.1157811,14.55118805,bulk.density,Bulk density (g/cm3),WAIC,simple,No,Fixed effects only
-0.434252135,0.713587336,77.19384602,7.006368667,11.18915521,1.640271467,-154.387692,14.01273733,bulk.density,Bulk density (g/cm3),WAIC,strip.plot.random,No,Strip and plot random effects
0,0,77.50512865,7.28819225,6.851813823,1.149021055,-155.0102573,14.5763845,bulk.density,Bulk density (g/cm3),LOO,simple,Yes,Fixed effects only
