"elpd_diff","se_diff","elpd","se_elpd","p","se_p","ic","se_ic","variable","variable.label","criterion","model","best.model","model.label"
0,0,144.7626878,9.86335456,16.31576717,3.456298879,-289.5253756,19.72670912,"temperature","Temperature (C)","WAIC","strip.plot.random","Yes","Strip and plot random effects"
-10.1247265,4.585112476,134.6379613,10.27993693,10.04569518,2.402411267,-269.2759226,20.55987385,"temperature","Temperature (C)","WAIC","strip.random","No","Strip random effects"
-10.98406135,4.853279992,133.7786264,10.33853768,7.714809655,2.180379577,-267.5572529,20.67707535,"temperature","Temperature (C)","WAIC","simple","No","Fixed effects only"
0,0,144.0281398,10.0710402,17.05031518,3.667003346,-288.0562796,20.1420804,"temperature","Temperature (C)","LOO","strip.plot.random","Yes","Strip and plot random effects"
-9.578478338,4.639763638,134.4496615,10.33895434,10.23399502,2.463216709,-268.8993229,20.67790868,"temperature","Temperature (C)","LOO","strip.random","No","Strip random effects"
-10.3670365,4.909876037,133.6611033,10.39794055,7.832332809,2.243854359,-267.3222066,20.79588111,"temperature","Temperature (C)","LOO","simple","No","Fixed effects only"
0,0,53.20752924,11.14732569,11.28553131,2.750727864,-106.4150585,22.29465139,"gravimetric.moisture","Gravitational moisture (%)","WAIC","strip.random","Yes","Strip random effects"
-0.602288901,0.902918244,52.60524034,11.31694286,13.78464596,3.415044007,-105.2104807,22.63388571,"gravimetric.moisture","Gravitational moisture (%)","WAIC","strip.plot.random","No","Strip and plot random effects"
-2.925307888,2.578628994,50.28222135,10.56395111,7.830655852,2.136620599,-100.5644427,21.12790223,"gravimetric.moisture","Gravitational moisture (%)","WAIC","simple","No","Fixed effects only"
0,0,52.98047604,11.21682578,11.51258451,2.822550925,-105.9609521,22.43365156,"gravimetric.moisture","Gravitational moisture (%)","LOO","strip.random","Yes","Strip random effects"
-0.878563337,0.970928291,52.1019127,11.48179134,14.28797359,3.581704231,-104.2038254,22.96358267,"gravimetric.moisture","Gravitational moisture (%)","LOO","strip.plot.random","No","Strip and plot random effects"
-2.793418499,2.591698575,50.18705754,10.60353457,7.925819664,2.178526851,-100.3741151,21.20706914,"gravimetric.moisture","Gravitational moisture (%)","LOO","simple","No","Fixed effects only"
0,0,77.62739462,7.061085981,9.140468452,1.399469217,-155.2547892,14.12217196,"bulk.density","Bulk density (g/cm3)","WAIC","strip.random","Yes","Strip random effects"
-0.050235243,0.925911553,77.57715938,7.280344752,6.78775184,1.131141023,-155.1543188,14.5606895,"bulk.density","Bulk density (g/cm3)","WAIC","simple","No","Fixed effects only"
-0.469447323,0.727684218,77.1579473,7.019797101,11.2507368,1.646646428,-154.3158946,14.0395942,"bulk.density","Bulk density (g/cm3)","WAIC","strip.plot.random","No","Strip and plot random effects"
0,0,77.52116965,7.294040773,6.843741563,1.145509211,-155.0423393,14.58808155,"bulk.density","Bulk density (g/cm3)","LOO","simple","Yes","Fixed effects only"
-0.021092522,0.935232443,77.50007713,7.078396122,9.26778594,1.416984754,-155.0001543,14.15679224,"bulk.density","Bulk density (g/cm3)","LOO","strip.random","No","Strip random effects"
-0.638711254,1.480922881,76.8824584,7.074257402,11.52622569,1.701456072,-153.7649168,14.1485148,"bulk.density","Bulk density (g/cm3)","LOO","strip.plot.random","No","Strip and plot random effects"
0,0,83.90585837,11.01456767,17.43571891,4.46087452,-167.8117167,22.02913534,"bulk.n.percent","TN (%)","WAIC","strip.plot.random","Yes","Strip and plot random effects"
-10.2566147,5.05853811,73.64924367,9.741230889,13.86168144,3.234834238,-147.2984873,19.48246178,"bulk.n.percent","TN (%)","WAIC","strip.random","No","Strip random effects"
-36.96888212,8.661576717,46.93697625,7.76455218,6.900751572,1.238681065,-93.87395251,15.52910436,"bulk.n.percent","TN (%)","WAIC","simple","No","Fixed effects only"
0,0,83.04465445,11.34497698,18.29692283,4.79700598,-166.0893089,22.68995397,"bulk.n.percent","TN (%)","LOO","strip.plot.random","Yes","Strip and plot random effects"
-9.927855784,5.138564594,73.11679866,9.921719789,14.39412644,3.435860708,-146.2335973,19.84343958,"bulk.n.percent","TN (%)","LOO","strip.random","No","Strip random effects"
-36.16004051,8.904012885,46.88461394,7.77796053,6.953113885,1.252746834,-93.76922788,15.55592106,"bulk.n.percent","TN (%)","LOO","simple","No","Fixed effects only"
0,0,47.70652771,34.27618292,19.03854215,15.99425322,-95.41305543,68.55236585,"bulk.c.percent","TC (%)","WAIC","simple","Yes","Fixed effects only"
-0.548494909,1.364477889,47.1580328,34.08991015,23.24374128,18.04866201,-94.31606561,68.17982031,"bulk.c.percent","TC (%)","WAIC","strip.random","No","Strip random effects"
0,0,119.673349214986,11.5490950229842,17.8556747359127,4.53475534947702,-239.346698429971,23.0981900459685,"bulk.c.percent","TC (%)","LOO","strip.plot.random","Yes","Strip and plot random effects"
0,0,47.43876099,33.69129704,22.9630131,17.6462834,-94.87752198,67.38259408,"bulk.c.percent","TC (%)","LOO","strip.random","Yes","Strip random effects"
-13.4310515871668,4.4095299707407,107.057978759247,9.83084191239813,12.1857350309452,3.04180484664982,-214.115957518494,19.6616838247963,"bulk.c.percent","TC (%)","WAIC","strip.random","No","Strip random effects"
-0.467475459,1.920021367,46.97128553,34.99032747,19.77378433,16.71182256,-93.94257106,69.98065494,"bulk.c.percent","TC (%)","LOO","simple","No","Fixed effects only"
0,0,119.7653973,8.574156413,16.9785937,3.188645517,-239.5307946,17.14831283,"bulk.cn.ratio","C:N Ratio","WAIC","strip.plot.random","Yes","Strip and plot random effects"
-6.045793838,4.734386551,113.7196035,7.330456815,12.00994373,2.192369824,-227.4392069,14.66091363,"bulk.cn.ratio","C:N Ratio","WAIC","strip.random","No","Strip random effects"
-46.00471773,9.567045653,73.76067957,6.95005068,6.673983523,1.046752222,-147.5213591,13.90010136,"bulk.cn.ratio","C:N Ratio","WAIC","simple","No","Fixed effects only"
0,0,118.8849567,8.851848607,17.85903433,3.473231257,-237.7699134,17.70369721,"bulk.cn.ratio","C:N Ratio","LOO","strip.plot.random","Yes","Strip and plot random effects"
-5.560778097,4.846370396,113.3241786,7.440476109,12.40536862,2.328381875,-226.6483572,14.88095222,"bulk.cn.ratio","C:N Ratio","LOO","strip.random","No","Strip random effects"
-45.16706337,9.775313426,73.71789331,6.958993145,6.71676978,1.056040744,-147.4357866,13.91798629,"bulk.cn.ratio","C:N Ratio","LOO","simple","No","Fixed effects only"
0,0,97.9083163888896,9.37621513398202,16.8800169899078,3.39971105955886,-195.816632777779,18.752430267964,"toc.percent","SOC (%)","LOO","strip.plot.random","Yes","Strip and plot random effects"
-0.22636496,2.170983335,34.53513142,32.54833295,18.32872297,15.03159983,-69.07026284,65.0966659,"toc.percent","SOC (%)","WAIC","simple","No","Fixed effects only"
-0.715460701,0.841261063,34.04603568,31.9186168,22.30398565,16.80210592,-68.09207136,63.8372336,"toc.percent","SOC (%)","WAIC","strip.random","No","Strip random effects"
0,0,34.06711135,31.78267544,22.28290998,16.66333079,-68.1342227,63.56535088,"toc.percent","SOC (%)","LOO","strip.random","Yes","Strip random effects"
-0.222536681,2.129527185,33.84457467,33.21416981,19.01927973,15.70272048,-67.68914933,66.42833962,"toc.percent","SOC (%)","LOO","simple","No","Fixed effects only"
-14.3484592609662,4.35320668612352,84.3011542292373,9.90764661512959,10.9597272265315,2.83963144496771,-168.602308458475,19.8152932302592,"toc.percent","SOC (%)","WAIC","strip.random","No","Strip random effects"
0,0,71.08470004,5.692123842,14.47487471,1.721532432,-142.1694001,11.38424768,"sand","Sand (%)","WAIC","strip.plot.random","Yes","Strip and plot random effects"
-4.370404706,3.272781538,66.71429533,6.00705498,9.700440808,1.221714057,-133.4285907,12.01410996,"sand","Sand (%)","WAIC","strip.random","No","Strip random effects"
-5.683599071,3.7777263,65.40110097,5.984277983,6.450830406,0.886811359,-130.8022019,11.96855597,"sand","Sand (%)","WAIC","simple","No","Fixed effects only"
