"elpd_diff","se_diff","elpd","se_elpd","p","se_p","ic","se_ic","variable","variable.label","criterion","model","best.model","model.label"
0,0,144.982893728969,9.80197299870594,16.0996012484411,3.38594580788221,-289.965787457938,19.6039459974119,"temperature","Temperature (C)","WAIC","strip.plot.random","Yes","Strip and plot random effects"
-10.365117050636,4.58968430006325,134.617776678333,10.269743719433,10.0539992830487,2.39078155779899,-269.235553356666,20.539487438866,"temperature","Temperature (C)","WAIC","strip.random","No","Strip random effects"
-11.2609608415318,4.88533000988766,133.721932887437,10.3576790251778,7.7959652704346,2.20807149597032,-267.443865774874,20.7153580503557,"temperature","Temperature (C)","WAIC","simple","No","Fixed effects only"
0,0,144.347907810412,9.96853910697457,16.7345871669981,3.55392232926391,-288.695815620824,19.9370782139491,"temperature","Temperature (C)","LOO","strip.plot.random","Yes","Strip and plot random effects"
-9.87135293843263,4.60463601846501,134.476554871979,10.2988978374001,10.1952210894022,2.42083393223838,-268.953109743959,20.5977956748003,"temperature","Temperature (C)","LOO","strip.random","No","Strip random effects"
-10.7373275239369,4.91759527948643,133.610580286475,10.411923919862,7.90731787139668,2.26550660265031,-267.22116057295,20.823847839724,"temperature","Temperature (C)","LOO","simple","No","Fixed effects only"
0,0,53.213425271083,11.1276243266409,11.2290519686276,2.72493194758516,-106.426850542166,22.2552486532818,"gravimetric.moisture","Gravitational moisture (%)","WAIC","strip.random","Yes","Strip random effects"
-0.493934987103922,0.902266693543891,52.7194902839791,11.3000346911141,13.6831636597153,3.37089277232615,-105.438980567958,22.6000693822283,"gravimetric.moisture","Gravitational moisture (%)","WAIC","strip.plot.random","No","Strip and plot random effects"
-2.94870373883662,2.56198262771474,50.2647215322464,10.5822349074413,7.85141142747524,2.14858439101854,-100.529443064493,21.1644698148826,"gravimetric.moisture","Gravitational moisture (%)","WAIC","simple","No","Fixed effects only"
0,0,53.0109094132952,11.1825903984127,11.4315678264155,2.78120615790252,-106.02181882659,22.3651807968254,"gravimetric.moisture","Gravitational moisture (%)","LOO","strip.random","Yes","Strip random effects"
-0.868282308856005,0.99340577380411,52.1426271044392,11.522975979847,14.2600268392553,3.59951250932747,-104.285254208878,23.0459519596939,"gravimetric.moisture","Gravitational moisture (%)","LOO","strip.plot.random","No","Strip and plot random effects"
-2.84070674577437,2.57110009903427,50.1702026675208,10.6225105788588,7.94593029220083,2.19147212818762,-100.340405335042,21.2450211577176,"gravimetric.moisture","Gravitational moisture (%)","LOO","simple","No","Fixed effects only"
0,0,77.6081042143543,7.06438343823269,9.12839167580909,1.39562705102321,-155.216208428709,14.1287668764654,"bulk.density","Bulk density (g/cm3)","WAIC","strip.random","Yes","Strip random effects"
-0.0208571547721459,0.91829793848619,77.5872470595822,7.27019364530212,6.76564060431677,1.12512676190785,-155.174494119164,14.5403872906042,"bulk.density","Bulk density (g/cm3)","WAIC","simple","No","Fixed effects only"
-0.424519017114827,0.724311043801564,77.1835851972395,7.01438197626073,11.2112797845461,1.6415760556647,-154.367170394479,14.0287639525215,"bulk.density","Bulk density (g/cm3)","WAIC","strip.plot.random","No","Strip and plot random effects"
0,0,77.5344801441693,7.28300049137405,6.81840751972967,1.13852144918399,-155.068960288339,14.5660009827481,"bulk.density","Bulk density (g/cm3)","LOO","simple","Yes","Fixed effects only"
-0.0546835877133773,0.926687759523397,77.4797965564559,7.08255022687865,9.25669933370752,1.41436320925846,-154.959593112912,14.1651004537573,"bulk.density","Bulk density (g/cm3)","LOO","strip.random","No","Strip random effects"
-0.624852142501013,1.46178287470089,76.9096280016683,7.06423525146118,11.4852369801173,1.69178551584408,-153.819256003337,14.1284705029224,"bulk.density","Bulk density (g/cm3)","LOO","strip.plot.random","No","Strip and plot random effects"
0,0,-182.422198156821,24.7799808998986,13.3340439937076,9.26236849051377,364.844396313643,49.5599617997972,"root.fragment.density","Root and wood fragment density (g/cm3)","WAIC","simple","Yes","Fixed effects only"
0,0,-182.422198156821,24.7799808998986,13.3340439937076,9.26236849051377,364.844396313643,49.5599617997972,"root.fragment.density","Root and wood fragment density (g/cm3)","WAIC","simple","Yes","Fixed effects only"
-0.873922360540742,0.353314651151885,-183.296120517362,24.7277933295338,14.3085468156143,9.31793855085979,366.592241034724,49.4555866590676,"root.fragment.density","Root and wood fragment density (g/cm3)","WAIC","strip.random","No","Strip random effects"
0,0,-183.385132630068,25.6810499661422,14.2969784669544,10.1928912907526,366.770265260136,51.3620999322845,"root.fragment.density","Root and wood fragment density (g/cm3)","LOO","simple","Yes","Fixed effects only"
-0.610312531476781,0.462519839398644,-183.995445161545,25.3940685924816,15.0078714597971,10.0048394161777,367.99089032309,50.7881371849632,"root.fragment.density","Root and wood fragment density (g/cm3)","LOO","strip.random","No","Strip random effects"
0,0,-183.385132630068,25.6810499661422,14.2969784669544,10.1928912907526,366.770265260136,51.3620999322845,"root.fragment.density","Root and wood fragment density (g/cm3)","LOO","simple","Yes","Fixed effects only"
0,0,70.5414666039292,5.77210245763233,15.0079826994856,1.8053278302582,-141.082933207858,11.5442049152647,"sand","Sand (%)","LOO","strip.plot.random","Yes","Strip and plot random effects"
-4.41438082404092,3.28283181346848,66.6747373497548,6.00556095624614,9.75724578523362,1.23094820437891,-133.34947469951,12.0111219124923,"sand","Sand (%)","WAIC","strip.random","No","Strip random effects"
-5.6945843781012,3.79142526945263,65.3945337956945,5.98637320281646,6.45605798423418,0.885423120733219,-130.789067591389,11.9727464056329,"sand","Sand (%)","WAIC","simple","No","Fixed effects only"
-4.41438082404092,3.28283181346848,66.6747373497548,6.00556095624614,9.75724578523362,1.23094820437891,-133.34947469951,12.0111219124923,"sand","Sand (%)","WAIC","strip.random","No","Strip random effects"
-4.1118677622839,3.3142382043974,66.5025294785616,6.02781443663873,9.92945365642681,1.25818779643278,-133.005058957123,12.0556288732775,"sand","Sand (%)","LOO","strip.random","No","Strip random effects"
-5.26519112429725,3.83322260876648,65.3492061165483,5.99573200803753,6.50138566338044,0.895136297817511,-130.698412233097,11.9914640160751,"sand","Sand (%)","LOO","simple","No","Fixed effects only"
0,0,86.675482117341,6.86673912050179,15.7553264780167,2.2403523948344,-173.350964234682,13.7334782410036,"silt","Silt (%)","WAIC","strip.plot.random","Yes","Strip and plot random effects"
-12.7506096132157,5.10967693646354,73.9248725041253,7.31908427646613,8.93583863827899,1.34769818884032,-147.849745008251,14.6381685529323,"silt","Silt (%)","WAIC","strip.random","No","Strip random effects"
-13.0175145012651,5.30059492725459,73.657967616076,7.23505315637717,6.7977734272464,1.16574941620926,-147.315935232152,14.4701063127543,"silt","Silt (%)","WAIC","simple","No","Fixed effects only"
0,0,86.0785155701428,6.97059092128058,16.352293025215,2.34566092821464,-172.157031140286,13.9411818425612,"silt","Silt (%)","LOO","strip.plot.random","Yes","Strip and plot random effects"
-12.2861453349189,5.15788961130692,73.7923702352238,7.33934657462862,9.06834090718051,1.3700742050838,-147.584740470448,14.6786931492572,"silt","Silt (%)","LOO","strip.random","No","Strip random effects"
-12.4730496384512,5.35994102941477,73.6054659316915,7.24891101951218,6.85027511163087,1.1804046629243,-147.210931863383,14.4978220390244,"silt","Silt (%)","LOO","simple","No","Fixed effects only"
0,0,58.8357105786184,5.8810853712787,14.0817851682035,1.72499567127063,-117.671421157237,11.7621707425574,"clay","Clay (%)","WAIC","strip.plot.random","Yes","Strip and plot random effects"
-3.89313962322256,2.40652154059581,54.9425709553958,6.39022340786741,9.39249257426904,1.28720232202681,-109.885141910792,12.7804468157348,"clay","Clay (%)","WAIC","strip.random","No","Strip random effects"
-3.91316723668303,2.79566637363992,54.9225433419353,6.10676212066895,6.48075555044957,0.926826298013221,-109.845086683871,12.2135242413379,"clay","Clay (%)","WAIC","simple","No","Fixed effects only"
0,0,58.418980366206,5.93791869763865,14.4985153806159,1.78211166289616,-116.837960732412,11.8758373952773,"clay","Clay (%)","LOO","strip.plot.random","Yes","Strip and plot random effects"
-3.53667699921272,2.82575080731149,54.8823033669932,6.11469755518645,6.52099552539169,0.935078512855789,-109.764606733986,12.2293951103729,"clay","Clay (%)","LOO","simple","No","Fixed effects only"
-3.65858806916775,2.42824905582644,54.7603922970382,6.41973934132332,9.57467123262669,1.31919360494078,-109.520784594076,12.8394786826466,"clay","Clay (%)","LOO","strip.random","No","Strip random effects"
0,0,214.804336979838,12.4738720481254,8.45597242937293,3.29672512654171,-429.608673959675,24.9477440962509,"ph","pH","WAIC","simple","Yes","Fixed effects only"
-0.639289270747283,0.324533759533272,214.16504770909,12.4397930435997,9.46260094879257,3.3036000060776,-428.330095418181,24.8795860871993,"ph","pH","WAIC","strip.random","No","Strip random effects"
-1.49274193612469,0.705342001976965,213.311595043713,12.2730315134645,11.2864513178865,3.66971575707392,-426.623190087426,24.5460630269291,"ph","pH","WAIC","strip.plot.random","No","Strip and plot random effects"
0,0,214.538004145864,12.6785695410498,8.72230526334653,3.51696032890722,-429.076008291728,25.3571390820996,"ph","pH","LOO","simple","Yes","Fixed effects only"
-0.671614359461163,0.328012275989498,213.866389786403,12.6390435289873,9.76125887148003,3.51395636397433,-427.732779572806,25.2780870579746,"ph","pH","LOO","strip.random","No","Strip random effects"
-1.62733355975493,0.710048582384719,212.910670586109,12.5017098341389,11.6873757754903,3.90800345259987,-425.821341172218,25.0034196682778,"ph","pH","LOO","strip.plot.random","No","Strip and plot random effects"
