model,model.label,variable,variable.label,variable.mean,treatment,full.treatment.name,posterior.mean,X5,X95,X25,X75
simple,Fixed effects only,temperature,Temperature (C),16.69666667,A,Balled-and-burlapped,16.42230486,16.04698831,16.79777094,16.27208486,16.57625712
simple,Fixed effects only,temperature,Temperature (C),16.69666667,B,Bareroot,16.39539871,16.01777301,16.76772162,16.25041709,16.55812745
simple,Fixed effects only,temperature,Temperature (C),16.69666667,C,Seedling,16.12189127,15.75391901,16.50460313,15.9759051,16.28175146
simple,Fixed effects only,temperature,Temperature (C),16.69666667,D,Acorn,17.38805169,17.02390874,17.77155748,17.24251938,17.54790981
simple,Fixed effects only,temperature,Temperature (C),16.69666667,E,Seedbank,17.04221598,16.67248023,17.42296407,16.90008536,17.2054557
simple,Fixed effects only,temperature,Temperature (C),16.69666667,R,Reference,16.78184862,16.418212,17.16663666,16.63283534,16.94085915
strip.random,Strip random effects,temperature,Temperature (C),16.69666667,A,Balled-and-burlapped,16.38334589,15.82720121,16.9751705,16.19081839,16.6224738
strip.random,Strip random effects,temperature,Temperature (C),16.69666667,B,Bareroot,16.39523207,15.88182286,16.90096461,16.21760435,16.6096467
strip.random,Strip random effects,temperature,Temperature (C),16.69666667,C,Seedling,16.11786559,15.62697792,16.62176279,15.92663249,16.31478563
strip.random,Strip random effects,temperature,Temperature (C),16.69666667,D,Acorn,17.31043508,16.72791929,17.91364959,17.1296204,17.57498158
strip.random,Strip random effects,temperature,Temperature (C),16.69666667,E,Seedbank,17.04060779,16.5465349,17.56946539,16.8468334,17.24337473
strip.random,Strip random effects,temperature,Temperature (C),16.69666667,R,Reference,16.77936885,16.06527336,17.5047381,16.53047044,17.04023724
strip.plot.random,Strip and plot random effects,temperature,Temperature (C),16.69666667,A,Balled-and-burlapped,16.39678062,15.57020978,17.21721114,16.11709911,16.74074965
strip.plot.random,Strip and plot random effects,temperature,Temperature (C),16.69666667,B,Bareroot,16.39118658,15.63960458,17.18556719,16.1062465,16.69868517
strip.plot.random,Strip and plot random effects,temperature,Temperature (C),16.69666667,C,Seedling,16.11485362,15.37155027,16.9133632,15.83914588,16.43530415
strip.plot.random,Strip and plot random effects,temperature,Temperature (C),16.69666667,D,Acorn,17.34553572,16.51227989,18.25012053,17.01368138,17.67112869
strip.plot.random,Strip and plot random effects,temperature,Temperature (C),16.69666667,E,Seedbank,17.0377344,16.26899354,17.87124989,16.75531411,17.36749899
strip.plot.random,Strip and plot random effects,temperature,Temperature (C),16.69666667,R,Reference,16.76934905,15.88408783,17.72750967,16.43415514,17.11517799
simple,Fixed effects only,gravimetric.moisture,Gravitational moisture (%),27.87420834,A,Balled-and-burlapped,26.91151077,25.40024616,28.55059382,26.34287775,27.63562356
simple,Fixed effects only,gravimetric.moisture,Gravitational moisture (%),27.87420834,B,Bareroot,25.64401004,24.14533446,27.3067143,25.06858208,26.35402201
simple,Fixed effects only,gravimetric.moisture,Gravitational moisture (%),27.87420834,C,Seedling,25.39950184,23.87951148,27.04630371,24.81115776,26.09615816
simple,Fixed effects only,gravimetric.moisture,Gravitational moisture (%),27.87420834,D,Acorn,30.48935906,28.96794197,32.12180589,29.92716295,31.2056335
simple,Fixed effects only,gravimetric.moisture,Gravitational moisture (%),27.87420834,E,Seedbank,28.78045864,27.23442373,30.40912151,28.21750551,29.5083201
simple,Fixed effects only,gravimetric.moisture,Gravitational moisture (%),27.87420834,R,Reference,29.72680709,28.18716133,31.35241543,29.14224128,30.42219268
strip.random,Strip random effects,gravimetric.moisture,Gravitational moisture (%),27.87420834,A,Balled-and-burlapped,27.07332427,24.40645755,30.13309202,26.05503654,28.19702515
