"model","model.label","variable","variable.label","variable.mean","treatment","full.treatment.name","posterior.mean","X5","X95","X25","X75"
"simple","Fixed effects only","temperature","Temperature (C)",16.69666667,"A","Balled-and-burlapped",16.42251032,16.0662253,16.81800322,16.27063162,16.57664424
"simple","Fixed effects only","temperature","Temperature (C)",16.69666667,"B","Bareroot",16.66821522,16.12642497,17.20473101,16.44087426,16.87799626
"simple","Fixed effects only","temperature","Temperature (C)",16.69666667,"C","Seedling",16.39088153,15.85780479,16.9224567,16.18088825,16.61510991
"simple","Fixed effects only","temperature","Temperature (C)",16.69666667,"D","Acorn",17.67944561,17.14263494,18.24895343,17.46879583,17.92090818
"simple","Fixed effects only","temperature","Temperature (C)",16.69666667,"E","Seedbank",17.32550782,16.79612579,17.88758638,17.10603135,17.55008185
"simple","Fixed effects only","temperature","Temperature (C)",16.69666667,"R","Reference",17.06311946,16.52825734,17.61747721,16.86187167,17.30371731
"strip.random","Strip random effects","temperature","Temperature (C)",16.69666667,"A","Balled-and-burlapped",16.39140278,15.80726964,16.95440228,16.1902464,16.62453584
"strip.random","Strip random effects","temperature","Temperature (C)",16.69666667,"B","Bareroot",16.69520411,15.91784876,17.47478656,16.38976102,16.97729747
"strip.random","Strip random effects","temperature","Temperature (C)",16.69666667,"C","Seedling",16.41839192,15.67957075,17.22448393,16.14358511,16.72860362
"strip.random","Strip random effects","temperature","Temperature (C)",16.69666667,"D","Acorn",17.63320522,16.78869479,18.52414247,17.34630036,17.99341301
"strip.random","Strip random effects","temperature","Temperature (C)",16.69666667,"E","Seedbank",17.35641714,16.57009313,18.20481856,17.03191146,17.63955044
"strip.random","Strip random effects","temperature","Temperature (C)",16.69666667,"R","Reference",17.09299292,16.19409568,18.08558885,16.77533743,17.46197635
"strip.plot.random","Strip and plot random effects","temperature","Temperature (C)",16.69666667,"A","Balled-and-burlapped",16.40108623,15.59628709,17.26065522,16.07547084,16.69658686
"strip.plot.random","Strip and plot random effects","temperature","Temperature (C)",16.69666667,"B","Bareroot",16.68818458,15.55466003,17.87904193,16.28731798,17.17119318
"strip.plot.random","Strip and plot random effects","temperature","Temperature (C)",16.69666667,"C","Seedling",16.40807051,15.31979817,17.59343535,15.98326784,16.86077494
"strip.plot.random","Strip and plot random effects","temperature","Temperature (C)",16.69666667,"D","Acorn",17.65810311,16.47128527,18.97166107,17.1801148,18.12165485
"strip.plot.random","Strip and plot random effects","temperature","Temperature (C)",16.69666667,"E","Seedbank",17.34060602,16.16688108,18.56416681,16.90341587,17.81809687
"strip.plot.random","Strip and plot random effects","temperature","Temperature (C)",16.69666667,"R","Reference",17.07587799,15.84070421,18.43035001,16.5934527,17.5583616
"simple","Fixed effects only","gravimetric.moisture","Gravitational moisture (%)",27.87420834,"A","Balled-and-burlapped",26.90898738,25.36790152,28.53005332,26.33483012,27.63067775
"simple","Fixed effects only","gravimetric.moisture","Gravitational moisture (%)",27.87420834,"B","Bareroot",26.56029063,24.43450804,28.97719615,25.59952936,27.43504284
"simple","Fixed effects only","gravimetric.moisture","Gravitational moisture (%)",27.87420834,"C","Seedling",26.31678372,24.13555178,28.62280441,25.51052847,27.34756161
"simple","Fixed effects only","gravimetric.moisture","Gravitational moisture (%)",27.87420834,"D","Acorn",31.58471832,29.15078223,34.10586723,30.59928229,32.60462975
"simple","Fixed effects only","gravimetric.moisture","Gravitational moisture (%)",27.87420834,"E","Seedbank",29.81449,27.50985852,32.3141281,28.83306754,30.7943134
"simple","Fixed effects only","gravimetric.moisture","Gravitational moisture (%)",27.87420834,"R","Reference",30.79553756,28.51967688,33.43172388,29.82445886,31.81938722
"strip.random","Strip random effects","gravimetric.moisture","Gravitational moisture (%)",27.87420834,"A","Balled-and-burlapped",27.08425604,24.41103639,30.16682344,26.0848344,28.22797818
"strip.random","Strip random effects","gravimetric.moisture","Gravitational moisture (%)",27.87420834,"B","Bareroot",26.35023415,22.87405185,30.34293387,24.91541113,27.7227395
"strip.random","Strip random effects","gravimetric.moisture","Gravitational moisture (%)",27.87420834,"C","Seedling",26.10596277,22.68702261,30.19622761,24.72876498,27.52288881
"strip.random","Strip random effects","gravimetric.moisture","Gravitational moisture (%)",27.87420834,"D","Acorn",31.95153352,27.69224921,37.16098992,30.16588877,33.64356552
"strip.random","Strip random effects","gravimetric.moisture","Gravitational moisture (%)",27.87420834,"E","Seedbank",29.56799703,25.58127036,33.79260285,28.04521006,31.11423729
"strip.random","Strip random effects","gravimetric.moisture","Gravitational moisture (%)",27.87420834,"R","Reference",30.59728731,25.77178067,36.46767887,28.83566705,32.6203642
"strip.plot.random","Strip and plot random effects","gravimetric.moisture","Gravitational moisture (%)",27.87420834,"A","Balled-and-burlapped",26.99543825,24.20005263,30.1504451,25.92901951,28.12880392
"strip.plot.random","Strip and plot random effects","gravimetric.moisture","Gravitational moisture (%)",27.87420834,"B","Bareroot",26.42926569,22.75566429,30.66931386,25.02228138,28.00213989
"strip.plot.random","Strip and plot random effects","gravimetric.moisture","Gravitational moisture (%)",27.87420834,"C","Seedling",26.18132769,22.57092027,30.34130201,24.75892661,27.68775864
"strip.plot.random","Strip and plot random effects","gravimetric.moisture","Gravitational moisture (%)",27.87420834,"D","Acorn",31.84818148,27.3517035,36.98902533,30.01611314,33.6000545
"strip.plot.random","Strip and plot random effects","gravimetric.moisture","Gravitational moisture (%)",27.87420834,"E","Seedbank",29.67209168,25.63699158,34.29650003,28.07878152,31.32524381
"strip.plot.random","Strip and plot random effects","gravimetric.moisture","Gravitational moisture (%)",27.87420834,"R","Reference",30.67430192,25.77788619,36.40291701,28.85789213,32.71325921
"simple","Fixed effects only","bulk.density","Bulk density (g/cm3)",0.877572124,"A","Balled-and-burlapped",0.952132744,0.915615158,0.989500693,0.938679153,0.968980949
"simple","Fixed effects only","bulk.density","Bulk density (g/cm3)",0.877572124,"B","Bareroot",0.789238941,0.744836803,0.836379825,0.77089141,0.807943625
"simple","Fixed effects only","bulk.density","Bulk density (g/cm3)",0.877572124,"C","Seedling",0.792213986,0.747325102,0.839197647,0.773834475,0.811255218
"simple","Fixed effects only","bulk.density","Bulk density (g/cm3)",0.877572124,"D","Acorn",0.713139241,0.67005828,0.757322626,0.695671565,0.731007519
"simple","Fixed effects only","bulk.density","Bulk density (g/cm3)",0.877572124,"E","Seedbank",0.816594537,0.77225306,0.865387066,0.79899102,0.836736263
"simple","Fixed effects only","bulk.density","Bulk density (g/cm3)",0.877572124,"R","Reference",0.859581097,0.813939161,0.90948727,0.840343229,0.879031907
"strip.random","Strip random effects","bulk.density","Bulk density (g/cm3)",0.877572124,"A","Balled-and-burlapped",0.951268396,0.896172723,1.009549875,0.931532,0.973423045
"strip.random","Strip random effects","bulk.density","Bulk density (g/cm3)",0.877572124,"B","Bareroot",0.789928647,0.729867133,0.860513367,0.765796942,0.815049687
"strip.random","Strip random effects","bulk.density","Bulk density (g/cm3)",0.877572124,"C","Seedling",0.79273393,0.730323102,0.85992365,0.767048936,0.816105965
"strip.random","Strip random effects","bulk.density","Bulk density (g/cm3)",0.877572124,"D","Acorn",0.711579272,0.651969294,0.778594718,0.688655213,0.736223168
"strip.random","Strip random effects","bulk.density","Bulk density (g/cm3)",0.877572124,"E","Seedbank",0.817175405,0.752701099,0.885547347,0.790452614,0.84039552
"strip.random","Strip random effects","bulk.density","Bulk density (g/cm3)",0.877572124,"R","Reference",0.86046295,0.781290028,0.945386855,0.831056011,0.889490483
"strip.plot.random","Strip and plot random effects","bulk.density","Bulk density (g/cm3)",0.877572124,"A","Balled-and-burlapped",0.951438904,0.890987964,1.015064316,0.928714791,0.975509418
