"variable","variable.label","model","model.label","treatment","full.treatment.name","Rhat"
"temperature","Temperature (C)","simple","Fixed effects only","A","Balled-and-burlapped",1.000324453
"temperature","Temperature (C)","simple","Fixed effects only","B","Bareroot",1.00023349
"temperature","Temperature (C)","simple","Fixed effects only","C","Seedling",1.000368166
"temperature","Temperature (C)","simple","Fixed effects only","D","Acorn",1.000130934
"temperature","Temperature (C)","simple","Fixed effects only","E","Seedbank",1.000228153
"temperature","Temperature (C)","simple","Fixed effects only","R","Reference",1.000267198
"temperature","Temperature (C)","strip.random","Strip random effects","A","Balled-and-burlapped",1.000326113
"temperature","Temperature (C)","strip.random","Strip random effects","B","Bareroot",1.000097986
"temperature","Temperature (C)","strip.random","Strip random effects","C","Seedling",1.000083936
"temperature","Temperature (C)","strip.random","Strip random effects","D","Acorn",1.000231697
"temperature","Temperature (C)","strip.random","Strip random effects","E","Seedbank",1.000250493
"temperature","Temperature (C)","strip.random","Strip random effects","R","Reference",1.000309093
"temperature","Temperature (C)","strip.plot.random","Strip and plot random effects","A","Balled-and-burlapped",1.000321256
"temperature","Temperature (C)","strip.plot.random","Strip and plot random effects","B","Bareroot",1.00005925
"temperature","Temperature (C)","strip.plot.random","Strip and plot random effects","C","Seedling",1.000332695
"temperature","Temperature (C)","strip.plot.random","Strip and plot random effects","D","Acorn",1.000063118
"temperature","Temperature (C)","strip.plot.random","Strip and plot random effects","E","Seedbank",1.000161098
"temperature","Temperature (C)","strip.plot.random","Strip and plot random effects","R","Reference",1.000069658
"gravimetric.moisture","Gravitational moisture (%)","simple","Fixed effects only","A","Balled-and-burlapped",1.000656244
"gravimetric.moisture","Gravitational moisture (%)","simple","Fixed effects only","B","Bareroot",1.000494493
"gravimetric.moisture","Gravitational moisture (%)","simple","Fixed effects only","C","Seedling",1.000339217
"gravimetric.moisture","Gravitational moisture (%)","simple","Fixed effects only","D","Acorn",1.000368255
"gravimetric.moisture","Gravitational moisture (%)","simple","Fixed effects only","E","Seedbank",1.000538186
"gravimetric.moisture","Gravitational moisture (%)","simple","Fixed effects only","R","Reference",1.00063309
"gravimetric.moisture","Gravitational moisture (%)","strip.random","Strip random effects","A","Balled-and-burlapped",1.000230737
"gravimetric.moisture","Gravitational moisture (%)","strip.random","Strip random effects","B","Bareroot",1.00018443
"gravimetric.moisture","Gravitational moisture (%)","strip.random","Strip random effects","C","Seedling",1.000309784
"gravimetric.moisture","Gravitational moisture (%)","strip.random","Strip random effects","D","Acorn",1.000328504
"gravimetric.moisture","Gravitational moisture (%)","strip.random","Strip random effects","E","Seedbank",1.000281455
"gravimetric.moisture","Gravitational moisture (%)","strip.random","Strip random effects","R","Reference",1.000228786
"gravimetric.moisture","Gravitational moisture (%)","strip.plot.random","Strip and plot random effects","A","Balled-and-burlapped",1.000229229
"gravimetric.moisture","Gravitational moisture (%)","strip.plot.random","Strip and plot random effects","B","Bareroot",1.000286455
"gravimetric.moisture","Gravitational moisture (%)","strip.plot.random","Strip and plot random effects","C","Seedling",1.000147639
"gravimetric.moisture","Gravitational moisture (%)","strip.plot.random","Strip and plot random effects","D","Acorn",1.000442531
"gravimetric.moisture","Gravitational moisture (%)","strip.plot.random","Strip and plot random effects","E","Seedbank",1.000231277
"gravimetric.moisture","Gravitational moisture (%)","strip.plot.random","Strip and plot random effects","R","Reference",1.000258996
"bulk.density","Bulk density (g/cm3)","simple","Fixed effects only","A","Balled-and-burlapped",1.000490812
"bulk.density","Bulk density (g/cm3)","simple","Fixed effects only","B","Bareroot",1.000376777
"bulk.density","Bulk density (g/cm3)","simple","Fixed effects only","C","Seedling",1.000402763
"bulk.density","Bulk density (g/cm3)","simple","Fixed effects only","D","Acorn",1.000243446
"bulk.density","Bulk density (g/cm3)","simple","Fixed effects only","E","Seedbank",1.00024053
"bulk.density","Bulk density (g/cm3)","simple","Fixed effects only","R","Reference",1.000248444
"bulk.density","Bulk density (g/cm3)","strip.random","Strip random effects","A","Balled-and-burlapped",1.00037962
"bulk.density","Bulk density (g/cm3)","strip.random","Strip random effects","B","Bareroot",1.0001985
"bulk.density","Bulk density (g/cm3)","strip.random","Strip random effects","C","Seedling",1.00033052
"bulk.density","Bulk density (g/cm3)","strip.random","Strip random effects","D","Acorn",1.00037894
"bulk.density","Bulk density (g/cm3)","strip.random","Strip random effects","E","Seedbank",1.000198692
"bulk.density","Bulk density (g/cm3)","strip.random","Strip random effects","R","Reference",1.000311271
