Date,Treatment_Plot,Quadrat,Depth range (cm),Mass of weighing boat (g),Mass of boat + wet soil + coarse rocks/roots (g),Mass of boat + dry soil + coarse rocks/roots (g),Mass of water (g),Mass of dry soil + coarse rocks/roots (g),Mass of weighing tin (g),Mass of weighing tin + coarse rocks/roots (g),Mass of coarse material (g),Mass of coarse roots and wood fragments(g),Mass of dry soil (g),Start volume (mL),End volume (mL),Volume of coarse rocks/roots/debris (mL),Volume soil core (cm3),Corrected volume (cm3),Gravimetric moistue (%),Volumetric moisture (g/cm3),Bulk density (g/cm3),Root and wood fragment density (g/cm3),Note
45090,A1,Q1,0-15,12.85,332.83,263.43,69.4,250.58,,,0,0,250.58,,,0,318.5574951,318.5574951,0.276957459,0.217857062,0.786608395,0,
41438,A1,Q1,15-30,12.85,496.09,385.36,110.73,372.51,2.2162,2.4707,0.2545,0.162,372.2555,15,15.8,0.8,318.5574951,317.7574951,0.297456989,0.348473291,1.171508165,0.000509823,
45090,A1,Q2,0-15,12.8,360.78,277.99,82.79,265.19,2.2162,10.8893,8.6731,0.054,256.5169,80,83.5,3.5,318.5574951,315.0574951,0.322746766,0.262777434,0.814190756,0.000171397,
45090,A1,Q2,15-30,12.83,495.84,387.02,108.82,374.19,2.2162,2.2413,0.0251,0,374.1649,15,15.2,0.2,318.5574951,318.3574951,0.290834335,0.341816988,1.175297914,0,
45090,A1,Q3,0-15,12.85,362.05,281.13,80.92,268.28,2.2162,3.0035,0.7873,0.658,267.4927,80,81.5,1.5,318.5574951,317.0574951,0.302512928,0.255221849,0.843672533,0.002075333,
45090,A1,Q3,15-30,12.91,475.4,376.66,98.74,363.75,2.2162,2.2408,0.0246,0.014,363.7254,15,15.1,0.1,318.5574951,318.4574951,0.271468531,0.310057077,1.1421474,4.39619E-05,
45090,A1,Q4,0-15,13.39,367.11,282.58,84.53,269.19,2.2162,2.2321,0.0159,0.011,269.1741,15,15.1,0.1,318.5574951,318.4574951,0.314034671,0.265435737,0.845243413,3.45415E-05,
45090,A1,Q4,15-30,12.94,438.26,349.94,88.32,337,2.2162,2.2316,0.0154,0.013,336.9846,15,15.1,0.1,318.5574951,318.4574951,0.262089128,0.277336855,1.058177638,4.08218E-05,
45090,A1,Q5,0-15,12.89,334,271.15,62.85,258.26,2.2162,2.6247,0.4085,0.059,257.8515,80,81,1,318.5574951,317.5574951,0.243744946,0.197916916,0.811983669,0.000185793,
45090,A1,Q5,15-30,12.77,351.67,283.73,67.94,270.96,2.2162,11.9502,9.734,1.719,261.226,180,195,15,318.5574951,303.5574951,0.260081309,0.223812626,0.860548674,0.005662848,
45090,A2,Q1,0-15,13.16,382.64,315.82,66.82,302.66,,,0,0,302.66,,,0,318.5574951,318.5574951,0.220775788,0.209758053,0.950095366,0,
45090,A2,Q1,15-30,12.87,494.31,397.95,96.36,385.08,2.2162,2.7754,0.5592,0.438,384.5208,80,81.2,1.2,318.5574951,317.3574951,0.250597627,0.303632344,1.211632956,0.001380147,
45090,A2,Q2,0-15,12.91,291.97,221.38,70.59,208.47,2.2162,2.6642,0.448,0,208.022,80,81,1,318.5574951,317.5574951,0.339339108,0.222290455,0.655068777,0,
45090,A2,Q2,15-30,13.11,411.72,308.53,103.19,295.42,2.2162,2.3443,0.1281,0,295.2919,15,15.6,0.6,318.5574951,317.9574951,0.349450832,0.324540234,0.928715016,0,
45090,A2,Q3,0-15,13.48,355.86,285.62,70.24,272.14,2.2162,2.2434,0.0272,0,272.1128,15,15.1,0.1,318.5574951,318.4574951,0.258128247,0.220563187,0.854471332,0,
45090,A2,Q3,15-30,12.87,462.07,367.67,94.4,354.8,2.2162,2.3166,0.1004,0.085,354.6996,80,80.2,0.2,318.5574951,318.3574951,0.2661407,0.296521996,1.114155016,0.000266995,
45090,A2,Q4,0-15,12.83,357.73,293.65,64.08,280.82,2.2162,2.3549,0.1387,0,280.6813,15,15.4,0.4,318.5574951,318.1574951,0.228301636,0.201409682,0.882208668,0,
45090,A2,Q4,15-30,13.11,393.47,312.56,80.91,299.45,2.2162,2.2859,0.0697,0.062,299.3803,15,15.2,0.2,318.5574951,318.3574951,0.270258263,0.254148249,0.940390299,0.00019475,
