Rep,Treatment_Plot_Quadrat,Dry POM mass (g),POC-N-8hr (%),POC-8hr (%),POC-N-24hr (%),POC-24hr (%),POC-N-24-hr scaled (%),POC-24-hr scaled (%)
A,A1 Q1,1.21,0.24,3.2,0.26,3.76,0.031,0.45
A,A1 Q2,0.94,0.38,4.76,0.37,5.17,0.035,0.49
A,A1 Q3,0.66,0.52,6.56,0.47,6.38,0.031,0.42
A,A1 Q4,0.75,0.54,7.65,0.46,6.94,0.035,0.52
A,A1 Q5,1.93,0.24,2.86,0.3,5.21,0.058,1.01
A,A2 Q1,0.79,0.21,2.97,0.24,4.18,0.019,0.33
A,A2 Q2,2.95,0.24,2.64,0.21,2.76,0.062,0.81
A,A2 Q3,0.8,0.44,5.31,0.45,5.97,0.036,0.48
A,A2 Q4,0.77,0.52,6.06,0.53,6.68,0.041,0.51
A,A2 Q5,0.91,0.61,6.95,0.62,7.53,0.056,0.69
A,A3 Q1,0.62,0.57,7,0.57,7.12,0.035,0.44
A,A3 Q2,0.25,0.94,12.79,0.98,12.11,0.025,0.30
A,A3 Q3,0.32,0.8,11.73,0.77,10.14,0.025,0.32
A,A3 Q4,0.71,0.54,7.68,0.5,7.12,0.036,0.51
A,A3 Q5,0.81,0.57,7.64,0.55,6.82,0.045,0.55
A,B1 Q1,0.87,0.51,7.02,0.56,7.68,0.049,0.67
A,B1 Q2,1.34,0.37,5.27,0.39,5.15,0.052,0.69
A,B1 Q3,0.97,0.57,8.04,0.64,8.46,0.062,0.82
A,B1 Q4,0.98,0.54,7.09,0.55,7.2,0.054,0.71
A,B1 Q5,0.63,0.72,9.55,0.74,9.13,0.047,0.58
A,B2 Q1,0.64,0.33,5.39,0.36,5.44,0.023,0.35
A,B2 Q2,0.7,0.64,9.38,0.7,10.12,0.049,0.71
A,B2 Q3,0.55,0.77,10.82,0.72,9.1,0.040,0.50
A,B2 Q4,0.65,0.73,10.83,0.69,9.71,0.045,0.63
A,B2 Q5,0.5,0.78,12.02,0.73,9.97,0.037,0.50
A,B3 Q1,0.71,0.39,6.8,0.4,7.55,0.028,0.54
A,B3 Q2,1.22,0.33,5.42,0.38,5.77,0.046,0.70
A,B3 Q3,0.52,0.74,11.96,0.73,9.82,0.038,0.51
A,B3 Q4,0.63,0.55,8.48,0.57,8.55,0.036,0.54
A,B3 Q5,0.29,0.87,15.63,0.79,11.63,0.023,0.34
A,C1 Q1,1.18,0.51,9.61,0.49,7.53,0.058,0.89
A,C1 Q2,1.28,0.36,6.34,0.37,6.38,0.047,0.82
A,C1 Q3,0.93,0.43,6.87,0.44,6.09,0.041,0.57
A,C1 Q4,0.43,0.53,8.02,0.55,7.46,0.024,0.32
A,C1 Q5,0.36,0.54,8.17,0.66,9.53,0.024,0.34
A,C2 Q1,0.43,0.45,6.33,0.61,9.68,0.026,0.42
A,C2 Q2,0.66,0.41,6.66,0.62,10.53,0.041,0.69
A,C2 Q3,0.47,0.28,6.45,0.43,8.86,0.020,0.42
A,C2 Q4,0.81,0.27,6.14,0.39,6.49,0.032,0.53
A,C2 Q5,0.45,0.32,6.91,0.53,8.53,0.024,0.38
A,C3 Q1,0.98,0.26,6.12,0.5,8.7,0.049,0.85
A,C3 Q2,0.61,0.2,5.41,0.44,7.18,0.027,0.44
A,C3 Q3,0.46,0.26,6.05,0.59,7.69,0.027,0.35
A,C3 Q4,0.45,0.32,7.23,0.77,10.49,0.035,0.47
A,C3 Q5,0.53,0.25,6.57,0.57,8.55,0.030,0.45
A,D1 Q1,0.51,0.68,11.47,0.69,12.18,0.035,0.62
A,D1 Q2,0.26,0.67,10.64,0.65,10.44,0.017,0.27
A,D1 Q3,0.69,0.63,8.82,0.63,8.69,0.043,0.60
A,D1 Q4,0.46,0.74,10.23,0.68,8.44,0.031,0.39
A,D1 Q5,0.49,0.77,10.05,0.75,9.71,0.037,0.48
A,D2 Q1,1.8,0.25,4.25,0.34,5.95,0.061,1.07
A,D2 Q2,1.92,0.18,3.15,0.1,2.06,0.019,0.40
A,D2 Q3,2.44,0.24,3.56,0.27,3.73,0.066,0.91
A,D2 Q4,0.63,0.49,7.22,0.53,6.9,0.033,0.43
A,D2 Q5,2.64,0.31,3.14,0.28,3.09,0.074,0.82
A,D3 Q1,0.53,0.94,11.05,0.82,8.32,0.043,0.44
A,D3 Q2,0.67,1.02,18.18,0.94,12.93,0.063,0.87
A,D3 Q3,1.95,0.47,7.11,0.37,5.74,0.072,1.12
A,D3 Q4,1.91,0.41,4.58,0.43,6.69,0.082,1.28
A,D3 Q5,1.69,0.35,3.86,0.39,5.91,0.066,1.00
A,E1 Q1,0.48,1.01,13.29,1.05,14.15,0.050,0.68
A,E1 Q2,1.76,0.47,6.35,0.43,4.69,0.076,0.83
A,E1 Q3,0.28,0.76,8.93,0.76,9.56,0.021,0.27
A,E1 Q4,1.91,0.43,5.81,0.41,5.59,0.078,1.07
A,E1 Q5,0.6,0.73,7.87,0.95,12.42,0.057,0.75
A,E2 Q1,2.22,0.39,5.23,0.34,6.18,0.075,1.37
A,E2 Q2,1.61,0.4,4.59,0.39,5.73,0.063,0.92
A,E2 Q3,1.67,0.46,4.93,0.46,5.5,0.077,0.92
A,E2 Q4,2.06,0.35,3.84,0.38,4.05,0.078,0.83
A,E2 Q5,0.35,1.04,11.28,1.12,11.62,0.039,0.41
A,E3 Q1,2.57,0.38,5,0.32,4.52,0.082,1.16
