Treatment,Quadrat,N1,C1,N2,C2,N3,C3,C2-C1 (%),C2-C1 (<10%),C3-C2 (%),C3-C2 (<10%),NAVE,CAVE
A,A1 Q1,0.27,3.79,0.25,3.77,,,-0.5,1,,,0.26,3.78
A,A1 Q2,0.28,3.93,0.28,4.11,,,4.6,1,,,0.28,4.02
A,A1 Q3,0.29,3.93,0.27,3.98,,,1.3,1,,,0.28,3.96
A,A1 Q4,0.28,3.92,0.25,3.92,,,0.0,1,,,0.27,3.92
A,A1 Q5,0.3,3.98,0.28,4.03,,,1.3,1,,,0.29,4.01
A,A2 Q1,0.3,4.15,0.27,4.27,,,2.9,1,,,0.29,4.21
A,A2 Q2,0.3,4.18,0.28,4.27,,,2.2,1,,,0.29,4.23
A,A2 Q3,0.26,4.06,0.26,4.17,,,2.7,1,,,0.26,4.12
A,A2 Q4,0.26,3.99,0.28,4.14,,,3.8,1,,,0.27,4.07
A,A2 Q5,0.32,4.26,0.31,4.55,,,6.8,1,,,0.32,4.41
A,A3 Q1,0.28,3.99,0.27,4.05,,,1.5,1,,,0.28,4.02
A,A3 Q2,0.28,4,0.29,4.12,,,3.0,1,,,0.29,4.06
A,A3 Q3,0.28,3.63,0.25,3.75,,,3.3,1,,,0.27,3.69
A,A3 Q4,0.26,3.7,0.26,3.82,,,3.2,1,,,0.26,3.76
A,A3 Q5,0.28,3.91,0.3,4.04,,,3.3,1,,,0.29,3.98
B,B1 Q1,0.3,4.05,0.29,4.26,,,5.2,1,,,0.30,4.16
B,B1 Q2,0.29,4.06,0.29,4.17,,,2.7,1,,,0.29,4.12
B,B1 Q3,0.3,4.05,0.32,4.39,,,8.4,1,,,0.31,4.22
B,B1 Q4,0.3,4.03,0.28,4.13,,,2.5,1,,,0.29,4.08
B,B1 Q5,0.34,4.3,0.32,4.4,,,2.3,1,,,0.33,4.35
B,B2 Q1,0.27,3.86,0.29,3.93,,,1.8,1,,,0.28,3.90
B,B2 Q2,0.33,4.23,0.31,4.37,,,3.3,1,,,0.32,4.30
B,B2 Q3,0.33,4.08,0.28,4.02,,,-1.5,1,,,0.31,4.05
B,B2 Q4,0.29,4.08,0.32,4.29,,,5.1,1,,,0.31,4.19
B,B2 Q5,0.29,4.19,0.3,4.37,,,4.3,1,,,0.30,4.28
B,B3 Q1,0.27,3.97,0.27,3.94,,,-0.8,1,,,0.27,3.96
B,B3 Q2,0.29,4.13,0.28,4.26,,,3.1,1,,,0.29,4.20
B,B3 Q3,0.32,4.24,0.31,4.34,,,2.4,1,,,0.32,4.29
B,B3 Q4,0.27,3.83,0.29,4,,,4.4,1,,,0.28,3.92
B,B3 Q5,0.28,4.23,0.3,4.33,,,2.4,1,,,0.29,4.28
C,C1 Q1,0.35,4.8,0.33,4.98,,,3.8,1,,,0.34,4.89
C,C1 Q2,0.26,4.53,0.28,4.52,,,-0.2,1,,,0.27,4.53
C,C1 Q3,0.26,4.4,0.3,4.39,,,-0.2,1,,,0.28,4.40
C,C1 Q4,0.24,4.17,0.3,4.22,,,1.2,1,,,0.27,4.20
C,C1 Q5,0.24,4.25,0.28,4.28,,,0.7,1,,,0.26,4.27
C,C2 Q1,0.23,4.27,0.29,4.38,,,2.6,1,,,0.26,4.33
C,C2 Q2,0.23,4.37,0.33,4.57,,,4.6,1,,,0.28,4.47
C,C2 Q3,0.19,3.51,0.25,3.65,,,4.0,1,,,0.22,3.58
C,C2 Q4,0.19,3.94,0.29,4.02,,,2.0,1,,,0.24,3.98
C,C2 Q5,0.17,3.64,0.28,3.82,,,4.9,1,,,0.23,3.73
