Treatment,Quadrat,SOC-N-8hr,SOC-8hr,SOC-N-24hr,SOC-24hr
A,A1 Q1,0.31,3.39,0.25,2.75
A,A1 Q2,0.34,3.56,0.28,2.91
A,A1 Q3,0.35,3.74,0.28,2.88
A,A1 Q4,0.36,3.82,0.28,3.07
A,A1 Q5,0.35,3.77,0.29,3
A,A2 Q1,0.35,3.64,0.28,2.77
A,A2 Q2,0.38,3.82,0.31,2.93
A,A2 Q3,0.34,3.5,0.28,2.73
A,A2 Q4,0.33,3.6,0.28,2.77
A,A2 Q5,0.39,4.26,0.32,3.24
A,A3 Q1,0.1,3,0.3,3.07
A,A3 Q2,0.4,3.99,0.31,3.05
A,A3 Q3,0.34,3.64,0.28,2.86
A,A3 Q4,0.34,3.66,0.27,2.83
A,A3 Q5,0.36,3.87,0.3,3
B,B1 Q1,0.38,3.82,0.3,2.93
B,B1 Q2,0.36,3.81,0.3,2.97
B,B1 Q3,0.36,4.13,0.31,3.23
B,B1 Q4,0.37,3.79,0.29,2.92
B,B1 Q5,0.41,4.13,0.33,3.21
B,B2 Q1,0.35,3.71,0.29,2.98
B,B2 Q2,0.41,4.3,0.32,3.27
B,B2 Q3,0.37,4,0.29,3.15
B,B2 Q4,0.39,4.11,0.3,3.18
B,B2 Q5,0.36,3.96,0.33,3.48
B,B3 Q1,0.35,3.61,0.28,2.8
B,B3 Q2,0.37,3.92,0.28,3.01
B,B3 Q3,0.38,4.01,0.32,3.26
B,B3 Q4,0.34,3.76,0.3,3.07
B,B3 Q5,0.39,4.13,0.31,3.24
C,C1 Q1,0.1,3.31,0.36,3.72
C,C1 Q2,0.38,4.18,0.3,3.22
C,C1 Q3,0.4,4.06,0.28,3.12
C,C1 Q4,0.36,3.94,0.31,3.09
C,C1 Q5,0.37,4.03,0.3,3.16
C,C2 Q1,0.4,4.23,0.32,3.27
C,C2 Q2,0.39,4.28,0.35,3.72
C,C2 Q3,0.35,3.37,0.26,2.73
C,C2 Q4,0.35,3.83,0.3,2.93
C,C2 Q5,0.33,3.72,0.28,2.85
C,C3 Q1,0.11,3.24,0.33,3.5
C,C3 Q2,0.36,4.06,0.28,2.91
C,C3 Q3,0.33,3.81,0.28,2.9
C,C3 Q4,0.39,4.36,0.32,3.38
C,C3 Q5,0.36,4.14,0.32,3.27
D,D1 Q1,1.04,7.97,0.33,3.58
D,D1 Q2,0.37,3.74,0.32,3.04
D,D1 Q3,0.4,4,0.33,3.3
D,D1 Q4,0.41,3.98,0.32,3.29
D,D1 Q5,0.41,3.96,0.33,3.23
D,D2 Q1,0.35,3.36,0.25,2.71
D,D2 Q2,0.3,2.96,0.22,2.31
D,D2 Q3,0.1,3.35,0.27,2.92
D,D2 Q4,0.35,3.93,0.28,2.84
D,D2 Q5,0.36,4.05,0.31,3.14
D,D3 Q1,0.46,4.29,0.35,3.48
D,D3 Q2,0.45,5.2,0.36,4.3
D,D3 Q3,0.42,4.17,0.35,3.37
D,D3 Q4,0.41,4.04,0.32,3.28
D,D3 Q5,0.4,3.99,0.31,3.18
E,E1 Q1,0.44,4.47,0.36,3.65
E,E1 Q2,0.47,4.32,0.36,3.49
E,E1 Q3,0.45,4.41,0.34,3.55
E,E1 Q4,0.44,4.3,0.36,3.55
E,E1 Q5,0.5,5.34,0.43,4.49
E,E2 Q1,0.55,5.44,0.34,3.42
E,E2 Q2,0.42,4.36,0.34,3.38
E,E2 Q3,0.41,4.16,0.33,3.34
E,E2 Q4,0.41,4.18,0.32,3.22
E,E2 Q5,0.41,4.05,0.35,3.22
E,E3 Q1,0.38,3.84,0.29,3.05
E,E3 Q2,0.4,4.06,0.32,3.24
E,E3 Q3,0.4,3.92,0.33,3.2
E,E3 Q4,0.45,4.07,0.33,3.36
E,E3 Q5,0.39,3.86,0.32,3.14
R,R1 Q1,0.4,4.04,0.28,3.2
R,R1 Q2,0.42,4.34,0.34,3.57
R,R1 Q3,0.45,4.84,0.36,3.98
R,R1 Q4,0.44,4.42,0.34,3.56
R,R1 Q5,0.45,4.77,0.32,3.74
R,R2 Q1,0.42,4.2,0.32,3.26
R,R2 Q2,0.43,4.35,0.33,3.47
R,R2 Q3,0.39,4.02,0.3,3.16
R,R2 Q4,0.43,4.55,0.36,3.69
R,R2 Q5,0.43,4.9,0.37,4.03
R,R3 Q1,0.39,3.93,0.32,3.41
R,R3 Q2,0.42,4.68,0.33,3.57
R,R3 Q3,0.43,4.84,0.39,4.15
R,R3 Q4,0.4,4.39,0.34,3.64
R,R3 Q5,0.43,4.74,0.38,4.05
