"treatment","full.treatment.name","strip","plot","total.cwd.carbon","intermediate.fwd.carbon","large.snag.carbon","dead.stem.carbon","abg.live.tree.carbon","bg.live.tree.carbon","total.live.tree.carbon","abg.live.stem.carbon","bg.live.stem.carbon","total.live.stem.carbon","snag.frax.live.carbon","snag.frax.dead.carbon","herbaceous.biomass.c.stock","mixed.biomass.c.stock","p.arundinacea.c.stock","h.japonicus.c.stock","herbaceous.litter.c.stock","small.fwd.carbon","fine.woody.debris.cn.ratio","herbaceous.litter.cn.ratio","herbaceous.biomass.cn.ratio","tc.stock","toc.stock","total.abg.wood.carbon","total.bg.wood.carbon","total.fwd.carbon","total.snag.carbon","total.live.carbon","total.dead.carbon","total.vegetation.carbon","total.organic.carbon","total.ecosystem.carbon","n.herb.only","n.tree.only","n.both.herb.tree","n.total"
"A","Balled-and-burlapped",1,1,0.772208534511271,0.404279294462689,6.14225452261456,0,105.344306200213,21.3128556254934,126.657161825706,0,0,0,10.2355445745168,6.14225452261456,0.1803568,0.1803568,0,0,1.94099837777778,1.5952426,41.3418803418803,17.7831858407079,11.0740740740741,112.306455312558,83.2717415626582,105.344306200213,21.3128556254934,1.99952189446269,6.14225452261456,126.837518625706,10.8549833293663,137.692501955073,220.964243517731,249.998957267631,16,2,1,19
"A","Balled-and-burlapped",2,3,3.22449690466199,2.58738748456121,6.77958641063795,0,221.789681623553,44.6676241921213,266.457305815674,0.0729668995313434,0.017009116030084,0.0899760155614274,9.39961052791827,5.806616417192,0.247361,0.198832,0,0.048529,1.97889982222222,1.7765034,57.5357142857143,15.8165938864629,12.792284805086,113.612458447876,86.25724626805,221.862648523084,44.6846333081514,4.36389088456121,6.77958641063795,266.794642831236,16.3468740220834,283.141516853319,369.398763121369,396.753975301195,19,1,1,21
"A","Balled-and-burlapped",2,2,0,1.21283788338807,5.51536819747467,0,50.9974361548278,10.4455805701851,61.4430167250129,0,0,0,0,0,0.640691266666667,0.1696086,0,0.471082666666667,1.89600102222222,0.630991888888889,63.5333333333334,15.5488372093024,11.2360843340391,118.396315263085,81.0880542420408,50.9974361548278,10.4455805701851,1.84382977227696,5.51536819747467,62.0837079916796,9.25519899197385,71.3389069836534,152.426961225694,189.735222246739,17,4,0,21
"B","Bareroot",1,1,8.5355961883377,1.69797303674329,34.4161003984512,0,8.65053549441508,1.83326501214859,10.4838005065637,0.0288062490893073,0.00671494658946088,0.0355211956787682,24.9044511275491,14.8002688540565,1.34995673333333,0.777948044444445,0.0384823555555555,0.533526333333334,2.75731377777778,3.59988408888889,44.983606557377,16.9158878504673,12.6490323440397,111.871335441955,81.4426399329008,8.67934174350439,1.83997995873805,5.29785712563218,34.4161003984512,11.8692784355758,51.0068674901989,62.8761459257746,144.318785858675,174.74748136773,12,2,0,14
"B","Bareroot",2,2,15.8503796999717,3.31509021459405,33.5658981014843,0,70.772106839822,14.8008104795459,85.5729173193679,0,0,0,1.47762730590107,0.810057385167546,0.0181007111111111,0.0161896,0,0.00191111111111111,1.57617053333333,4.30283066666667,58.297619047619,18.3922651933701,9.15554256682329,111.567838425919,86.441406786238,70.772106839822,14.8008104795459,7.61792088126072,33.5658981014843,85.591018030479,58.6103692160501,144.201387246529,230.642794032767,255.769225672448,14,5,0,19
"B","Bareroot",3,3,11.5000091302499,4.60878395687465,34.0540714097018,0,86.659525380885,18.0903751915715,104.749900572457,0,0,0,1.58546224223871,0.842682879749297,0.280234111111112,0.104475,0.175759111111111,0,1.43395782222222,5.07358435555555,63.1688311688311,18.6836734693877,22.1225812676525,96.7589615271343,71.8068598870117,86.659525380885,18.0903751915715,9.6823683124302,34.0540714097018,105.030134683568,56.6704066746041,161.700541358172,233.507401245183,258.459502885306,13,3,1,17
"C","Seedling",1,1,12.4014111854635,2.82995506123882,1.69333768430094,0,67.0569844704046,13.6874577231471,80.7444421935517,0,0,0,2.74080255956819,1.49510427350469,0.187830888888889,0.187830888888889,0,0,1.572786,0.309207822222222,33.8591549295774,17.4666666666667,11.0179104477612,119.48042944262,87.446333085559,67.0569844704046,13.6874577231471,3.13916288346104,1.69333768430094,80.9322730824406,18.8066977532255,99.7389708356661,187.185303921225,219.219400278286,18,4,1,23
"C","Seedling",2,2,5.07375559688977,2.34481990788359,28.7438158288879,0,194.032125802763,40.137769520643,234.169895323406,0.0156021162326098,0.00363696699489502,0.0192390832275048,0.302883874741889,0.157069970945963,0.268893888888889,0.246820911111111,0,0.0220729777777778,1.77456426666667,2.79594066666667,49.2475247524752,18.8021390374332,25.0261632295974,105.209864313592,81.1941783594622,194.047727918996,40.1414064876379,5.14076057455026,28.7438158288879,234.458028295522,40.7328962669946,275.190924562517,356.385102921979,380.400788876109,16,2,0,18
"C","Seedling",3,3,0.864102153664975,2.26396404899106,13.9840577151323,0,214.031844944156,43.8592144757441,257.8910594199,0.00115086689619884,0.000268275460494524,0.00141914235669337,0,0,0.0530387111111111,0.0530387111111111,0,0,2.19794546666667,4.40723386666666,40.8220338983052,17.6972477064221,17.6017316017316,100.520570371352,77.4370004381573,214.032995811052,43.8594827512046,6.67119791565772,13.9840577151323,257.945517273368,23.7173032511217,281.66282052449,359.099820962647,382.183390895841,14,1,1,16
"D","Acorn",1,1,2.27966244787563,0.323423435570151,6.45108812696225,0.00297414658325171,14.0662706694443,2.96132863853169,17.027599307976,0.00498556831313872,0.00116217230632994,0.00614774061946866,0,0,0.604708800000001,0.566574866666667,0.0199300444444444,0.0182038888888889,1.22091564444444,0.109733333333333,44.890909090909,17.3838383838383,20.6715907355793,93.0657157139238,74.2440248516748,14.0712562377574,2.96249081083802,0.433156768903484,6.4540622735455,17.6384558485955,10.3877971347691,28.0262529833645,102.270277835039,121.091968697288,20,3,0,23
"D","Acorn",2,2,4.07369331415164,0.565991012247764,6.27559898329098,0,76.4117283368961,15.7493677853535,92.1610961222496,0,0,0,0,0,0.670640133333333,0.146967333333333,0.0277856444444444,0.495887155555555,1.84958333333333,0.109405822222222,47.2745098039216,16.4285714285714,13.7647960307654,91.1283687609465,63.1174083048341,76.4117283368961,15.7493677853535,0.675396834469986,6.27559898329098,92.8317362555829,12.8742724652459,105.706008720829,168.823417025663,196.834377481775,14,2,2,18
"D","Acorn",2,3,1.42766550138997,0.485135153355226,4.43980657910907,0,28.1653864465691,5.8930995829576,34.0584860295267,0,0,0,0,0,0.0573195555555556,0.00436888888888888,0.0529506666666667,0,2.95434275555556,0.150077955555556,43.9532710280375,16.7731958762886,15.3286345916136,104.697512164386,85.3983032303467,28.1653864465691,5.8930995829576,0.635213108910782,4.43980657910907,34.1158055850823,9.45702794496538,43.5728335300476,128.971136760394,148.270345694434,10,2,0,12
"E","Seedbank",1,1,1.88351713459218,0.808558588925378,0.0813610488351382,0.0743536645812928,17.3385385984126,3.59861068971357,20.9371492881262,0.0822618771667889,0.0191758430544441,0.101437720221233,0,0,2.75919006666667,0.0316760888888888,1.723644,1.00386997777778,0.801415600000003,0,0,16.1923076923077,14.9294147226077,116.695169085641,95.0562026789396,17.4208004755794,3.61778653276801,0.808558588925378,0.155714713416431,23.7977770750141,3.64920603693399,27.4469831119481,122.503185790888,144.142152197589,4,1,0,5
"E","Seedbank",2,2,0,0.0808558588925378,0,0,16.4926965015434,3.40903402566107,19.9017305272045,0.0272059019176791,0.0063418940011575,0.0335477959188366,0,0,1.36072275555556,0.116136688888889,0.689608333333334,0.554977733333334,2.44346137777778,0.124205777777778,42.7876106194692,17.1931818181819,14.6794856949838,111.910168999527,89.581437564282,16.5199024034611,3.41537591966223,0.205061636670316,0,21.2960010786789,2.6485230144481,23.944524093127,113.525961657409,135.854693092654,6,1,0,7
"E","Seedbank",3,3,0,0.161711717785076,0,0.00594829316650342,24.1198483595522,5.00540619287247,29.1252545524247,0.0141257768872264,0.00329282153460151,0.0174185984218279,0,0,0.861565555555556,0.227034866666667,0.301887666666667,0.332643022222222,5.19045753333334,0.7570496,30.0540540540541,17.9171270718232,15.5887927651471,109.74770209256,87.8158780694456,24.1339741364394,5.00869901440707,0.918761317785076,0.00594829316650342,30.0042387064021,6.11516714428492,36.119405850687,123.935283920133,145.867107943247,10,2,0,12
"R","Reference",1,1,5.86682420794205,0.970270306710453,35.330815742917,0,159.643304530164,32.7791610168638,192.422465547028,0,0,0,44.3253936839398,32.2626325397877,0.676120444444445,0.676120444444445,0,0,1.33718053333333,5.85795466666668,47.145631067961,21.8083832335329,11.5748502994012,130.959928826694,106.048284915533,159.643304530164,32.7791610168638,6.82822497337713,35.330815742917,193.098585991472,49.3630454575695,242.461631449042,348.509916364575,373.421560275736,17,1,2,20
"R","Reference",1,2,5.09142560909386,2.10225233120598,37.7401559737602,0,48.8168481934484,10.0781039054382,58.8949520988866,0,0,0,23.0560482507656,18.1329560939356,0.833358933333334,0.833358933333334,0,0,1.19609893333333,4.45896715555555,37.9448818897637,19.2222222222222,14.1223021582734,117.375562015625,93.5196506978876,48.8168481934484,10.0781039054382,6.56121948676153,37.7401559737602,59.7283110322199,50.5889000029489,110.317211035169,203.836861733057,227.692773050794,17,2,2,21
"R","Reference",1,3,28.1103017962353,1.05112616560299,65.5619090032795,0,39.6944942500226,8.19871657316197,47.8932108231846,0,0,0,66.9143425592797,53.6252343707353,0.389373688888888,0.389373688888888,0,0,1.14129293333333,0.660284333333334,37.4112903225808,19.3080808080807,16.9409448818898,123.359214359576,103.89478728048,39.6944942500226,8.19871657316197,1.71141049893632,65.5619090032795,48.2825845120735,96.5249142317845,144.807498743858,248.702286024338,268.166713103433,16,0,1,17
