"treatment","strip","plot","year","redo","full.treatment.name","spp","genus","species","dbh.cm","basal.area.m2"
"A",1,1,2022,"N","Balled-and-burlapped","Plaocc","Platanus","occidentalis",38.8,0.118236981110505
"A",1,1,2022,"N","Balled-and-burlapped","Plaocc","Platanus","occidentalis",10.6,0.00882473376393373
"A",1,1,2022,"N","Balled-and-burlapped","Plaocc","Platanus","occidentalis",9.8,0.00754296396126909
"A",1,1,2022,"N","Balled-and-burlapped","Plaocc","Platanus","occidentalis",27.9,0.0611361784370208
"A",1,1,2022,"N","Balled-and-burlapped","Plaocc","Platanus","occidentalis",11.6,0.0105683176866761
"A",1,1,2022,"N","Balled-and-burlapped","Acesai","Acer","saccharinum",69.1,0.375012700457177
"A",1,1,2023,"Y","Balled-and-burlapped","Plaocc","Platanus","occidentalis",38.1,0.114009182796937
"A",1,1,2023,"Y","Balled-and-burlapped","Plaocc","Platanus","occidentalis",9.5,0.00708821842466197
"A",1,1,2023,"Y","Balled-and-burlapped","Acesai","Acer","saccharinum",54,0.229022104446696
"A",1,1,2023,"Y","Balled-and-burlapped","Acesai","Acer","saccharinum",12.6,0.0124689812420979
"A",1,1,2023,"Y","Balled-and-burlapped","Acesai","Acer","saccharinum",36.6,0.105208796376069
"A",1,1,2023,"Y","Balled-and-burlapped","Quebic","Quercus","bicolor",23.1,0.0419096313970512
"A",1,1,2023,"Y","Balled-and-burlapped","Acesai","Acer","saccharinum",95.5,0.716302759972558
"A",2,2,2022,"N","Balled-and-burlapped","Quebic","Quercus","bicolor",31.1,0.0759644957619646
"A",2,2,2022,"N","Balled-and-burlapped","Betnig","Betula","nigra",29.3,0.0674256469295075
"A",2,2,2022,"N","Balled-and-burlapped","Betnig","Betula","nigra",26.5,0.0551545860245858
"A",2,2,2022,"N","Balled-and-burlapped","Acesai","Acer","saccharinum",71,0.395919214168654
"A",2,2,2022,"N","Balled-and-burlapped","Quepal","Quercus","palustris",20.1,0.0317308711994203
"A",2,3,2022,"N","Balled-and-burlapped","Quebic","Quercus","bicolor",32.8,0.0844962760109511
"A",2,3,2022,"N","Balled-and-burlapped","Acesai","Acer","saccharinum",95,0.708821842466197
"A",2,3,2022,"N","Balled-and-burlapped","Acesai","Acer","saccharinum",20,0.0314159265358979
"A",2,3,2022,"N","Balled-and-burlapped","Acesai","Acer","saccharinum",69.7,0.381553496361951
"A",2,3,2022,"N","Balled-and-burlapped","Acesai","Acer","saccharinum",74.5,0.435915615639669
"A",2,3,2023,"Y","Balled-and-burlapped","Quebic","Quercus","bicolor",34.5,0.0934820163983813
"A",2,3,2023,"Y","Balled-and-burlapped","Quebic","Quercus","bicolor",20.7,0.0336535259034173
"A",2,3,2023,"Y","Balled-and-burlapped","Acesai","Acer","saccharinum",94.4,0.699896577737349
"A",2,3,2023,"Y","Balled-and-burlapped","Quebic","Quercus","bicolor",24.2,0.0459960580412082
"A",2,3,2023,"Y","Balled-and-burlapped","Acesai","Acer","saccharinum",108,0.916088417786784
"A",2,3,2023,"Y","Balled-and-burlapped","Acesai","Acer","saccharinum",52.7,0.21812784652221
"A",2,3,2023,"Y","Balled-and-burlapped","Acesai","Acer","saccharinum",57.8,0.262388960020473
"A",2,3,2023,"Y","Balled-and-burlapped","Acesai","Acer","saccharinum",34.5,0.0934820163983813
"B",1,1,2022,"N","Bareroot","Acesai","Acer","saccharinum",53,0.220618344098343
"B",1,1,2022,"N","Bareroot","Acesai","Acer","saccharinum",18.8,0.0277591126871194
"B",1,1,2022,"N","Bareroot","Fraxpen","Fraxinus","pennsylvanica",12,0.0113097335529233
"B",1,1,2022,"N","Bareroot","Fraxpen","Fraxinus","pennsylvanica",22,0.0380132711084365
"B",1,1,2022,"N","Bareroot","Acesai","Acer","saccharinum",50.7,0.201885812503151
"B",1,1,2022,"N","Bareroot","Quebic","Quercus","bicolor",17.2,0.0232352192659501
"B",1,1,2022,"N","Bareroot","Quebic","Quercus","bicolor",11.8,0.0109358840271461
"B",1,1,2022,"N","Bareroot","Fraxpen","Fraxinus","pennsylvanica",15.6,0.0191134497044403
"B",1,1,2022,"N","Bareroot","Fraxpen","Fraxinus","pennsylvanica",32,0.0804247719318987
"B",1,1,2022,"N","Bareroot","Quebic","Quercus","bicolor",16.9,0.0224317569447945
"B",1,1,2022,"N","Bareroot","Quebic","Quercus","bicolor",18.6,0.0271716348608981
"B",1,1,2022,"N","Bareroot","Acesai","Acer","saccharinum",37.2,0.108686539443593
"B",1,1,2022,"N","Bareroot","Moralb","Morus","alba",23,0.041547562843725
"B",1,1,2023,"Y","Bareroot","Moralb","Morus","alba",3.5,0.000962112750161874
"B",1,1,2023,"Y","Bareroot","Quebic","Quercus","bicolor",17.1,0.0229658276959048
"B",1,1,2023,"Y","Bareroot","Quebic","Quercus","bicolor",23.9,0.0448627284914256
"B",1,1,2023,"Y","Bareroot","Quebic","Quercus","bicolor",17.1,0.0229658276959048
"B",1,1,2023,"Y","Bareroot","Quebic","Quercus","bicolor",20.2,0.0320473866592695
"B",1,1,2023,"Y","Bareroot","Quebic","Quercus","bicolor",12,0.0113097335529233
"B",2,2,2022,"N","Bareroot","Acesai","Acer","saccharinum",38.7,0.117628297533872
"B",2,2,2022,"N","Bareroot","Acesai","Acer","saccharinum",11.4,0.0102070345315132
"B",2,2,2022,"N","Bareroot","Acesai","Acer","saccharinum",38.6,0.117021184753566
"B",2,2,2022,"N","Bareroot","Popdel","Populus","deltoides",18.4,0.026590440219984
"B",2,2,2022,"N","Bareroot","Quepal","Quercus","palustris",8.9,0.00622113885227119
"B",2,2,2022,"N","Bareroot","Acesai","Acer","saccharinum",29,0.0660519855417254
"B",2,2,2022,"N","Bareroot","Acesai","Acer","saccharinum",6.7,0.00352565235549115
"B",2,2,2022,"N","Bareroot","Acesai","Acer","saccharinum",29.6,0.0688134454842309
"B",2,2,2022,"N","Bareroot","Acesai","Acer","saccharinum",14.3,0.0160606070433144
"B",2,2,2022,"N","Bareroot","Quebic","Quercus","bicolor",14.5,0.0165129963854313
"B",2,2,2022,"N","Bareroot","Acesai","Acer","saccharinum",31.2,0.0764537988177612
"B",2,2,2022,"N","Bareroot","Acesai","Acer","saccharinum",19.3,0.0292552961883916
"B",2,2,2022,"N","Bareroot","Acesai","Acer","saccharinum",15.4,0.0186265028431339
"B",2,2,2022,"N","Bareroot","Acesai","Acer","saccharinum",26,0.0530929158456675
"B",2,2,2022,"N","Bareroot","Acesai","Acer","saccharinum",17.4,0.0237787147950211
"B",2,2,2022,"N","Bareroot","Acesai","Acer","saccharinum",7,0.0038484510006475
"B",2,2,2022,"N","Bareroot","Acesai","Acer","saccharinum",30.9,0.0749906020393518
"B",2,2,2022,"N","Bareroot","Acesai","Acer","saccharinum",29.5,0.0683492751696629
"B",2,2,2022,"N","Bareroot","Acesai","Acer","saccharinum",21.1,0.0349667116326178
"B",2,2,2022,"N","Bareroot","Acesai","Acer","saccharinum",11.2,0.00985203456165759
"B",2,2,2022,"N","Bareroot","Fraxpen","Fraxinus","pennsylvanica",7.5,0.00441786466911065
"B",2,2,2022,"N","Bareroot","Fraxpen","Fraxinus","pennsylvanica",5.5,0.00237582944427728
"B",2,2,2022,"N","Bareroot","Acesai","Acer","saccharinum",20.8,0.0339794661412272
"B",2,2,2022,"N","Bareroot","Quebic","Quercus","bicolor",6.7,0.00352565235549115
"B",2,2,2022,"N","Bareroot","Acesai","Acer","saccharinum",21.2,0.0352989350557349
"B",2,2,2022,"N","Bareroot","Acesai","Acer","saccharinum",32.3,0.0819398049890924
"B",2,2,2022,"N","Bareroot","Acesai","Acer","saccharinum",32.4,0.0824479576008105
"B",2,2,2022,"N","Bareroot","Acesai","Acer","saccharinum",8.4,0.0055417694409324
"B",2,2,2022,"N","Bareroot","Acesai","Acer","saccharinum",11.4,0.0102070345315132
"B",2,2,2022,"N","Bareroot","Acesai","Acer","saccharinum",32.3,0.0819398049890924
"B",2,2,2022,"N","Bareroot","Quebic","Quercus","bicolor",11.2,0.00985203456165759
"B",2,2,2022,"N","Bareroot","Acesai","Acer","saccharinum",17.5,0.0240528187540468
"B",2,2,2022,"N","Bareroot","Acesai","Acer","saccharinum",35.6,0.099538221636339
"B",2,2,2022,"N","Bareroot","Acesai","Acer","saccharinum",17.8,0.0248845554090848
"B",3,3,2022,"N","Bareroot","Acesai","Acer","saccharinum",10,0.00785398163397448
"B",3,3,2022,"N","Bareroot","Acesai","Acer","saccharinum",30.1,0.0711578590019722
"B",3,3,2022,"N","Bareroot","Quebic","Quercus","bicolor",10.7,0.00899202357273739
"B",3,3,2022,"N","Bareroot","Acesai","Acer","saccharinum",24.8,0.0483051286415967
"B",3,3,2022,"N","Bareroot","Popdel","Populus","deltoides",22.9,0.0411870650867256
"B",3,3,2022,"N","Bareroot","Acesai","Acer","saccharinum",41.9,0.137885286964219
"B",3,3,2022,"N","Bareroot","Acesai","Acer","saccharinum",5.8,0.00264207942166902
"B",3,3,2022,"N","Bareroot","Acesai","Acer","saccharinum",9.2,0.006647610054996
"B",3,3,2022,"N","Bareroot","Acesai","Acer","saccharinum",30.8,0.0745060113725355
"B",3,3,2022,"N","Bareroot","Acesai","Acer","saccharinum",9.6,0.00723822947387088
"B",3,3,2022,"N","Bareroot","Acesai","Acer","saccharinum",34.6,0.0940247265292889
"B",3,3,2022,"N","Bareroot","Acesai","Acer","saccharinum",27.8,0.0606987116600084
"B",3,3,2022,"N","Bareroot","Acesai","Acer","saccharinum",21.3,0.0356327292751788
"B",3,3,2022,"N","Bareroot","Acesai","Acer","saccharinum",8.1,0.00515299735005066
"B",3,3,2022,"N","Bareroot","Acesai","Acer","saccharinum",18.5,0.0268802521422777
"B",3,3,2022,"N","Bareroot","Acesai","Acer","saccharinum",35.4,0.0984229562443146
"B",3,3,2022,"N","Bareroot","Acesai","Acer","saccharinum",29.7,0.0692791865951255
"B",3,3,2022,"N","Bareroot","Acesai","Acer","saccharinum",24.3,0.0463769761504559
"B",3,3,2022,"N","Bareroot","Acesai","Acer","saccharinum",24.7,0.0479163565507149
"B",3,3,2022,"N","Bareroot","Acesai","Acer","saccharinum",12.7,0.0126676869774374
"B",3,3,2022,"N","Bareroot","Acesai","Acer","saccharinum",26.8,0.0564104376878583
"B",3,3,2022,"N","Bareroot","Acesai","Acer","saccharinum",23.9,0.0448627284914256
"B",3,3,2022,"N","Bareroot","Fraxpen","Fraxinus","pennsylvanica",14.4,0.0162860163162095
"B",3,3,2022,"N","Bareroot","Quebic","Quercus","bicolor",13,0.0132732289614169
"B",3,3,2022,"N","Bareroot","Acesai","Acer","saccharinum",25,0.0490873852123405
"B",3,3,2022,"N","Bareroot","Acesai","Acer","saccharinum",11,0.00950331777710912
"B",3,3,2022,"N","Bareroot","Acesai","Acer","saccharinum",27.3,0.0585349397198484
"B",3,3,2022,"N","Bareroot","Acesai","Acer","saccharinum",38.3,0.115209271190608
"B",3,3,2022,"N","Bareroot","Acesai","Acer","saccharinum",27.7,0.0602628156793228
"B",3,3,2022,"N","Bareroot","Acesai","Acer","saccharinum",10.2,0.00817128249198705
"B",3,3,2022,"N","Bareroot","Acesai","Acer","saccharinum",10.9,0.00933131557932508
"B",3,3,2022,"N","Bareroot","Acesai","Acer","saccharinum",8.1,0.00515299735005066
"B",3,3,2022,"N","Bareroot","Acesai","Acer","saccharinum",36.2,0.102921716924255
"B",3,3,2022,"N","Bareroot","Acesai","Acer","saccharinum",40.1,0.126292810072473
"B",3,3,2022,"N","Bareroot","Quebic","Quercus","bicolor",15.5,0.0188691908756237
"C",1,1,2022,"N","Seedling","Fraxpen","Fraxinus","pennsylvanica",17,0.0226980069221863
"C",1,1,2022,"N","Seedling","Carill","Carya","illinoiensis",7.1,0.00395919214168654
"C",1,1,2022,"N","Seedling","Carill","Carya","illinoiensis",16.3,0.0208672438033068
"C",1,1,2022,"N","Seedling","Carill","Carya","illinoiensis",7.3,0.004185386812745
