"treatment","full.treatment.name","strip","plot","spp","genus","species","abC.ha.jenkins","abC.ha.chojnacky","abC.ha.allodb","bgC.ha.jenkins","bgC.ha.chojnacky","bgC.ha.allodb","bmC.ha.jenkins","bmC.ha.chojnacky","bmC.ha.allodb"
"A","Balled-and-burlapped",1,1,"Acesai","Acer","saccharinum",81.2110981411847,77.4895673096867,95.5730668157216,15.1368984308265,15.6403042504954,19.278010353023,96.3479965720112,93.1298715601821,114.851077168745
"A","Balled-and-burlapped",1,1,"Plaocc","Platanus","occidentalis",6.32476707190423,6.42552432404848,6.98056021934257,1.19343881059623,1.33231296410191,1.44703766758811,7.51820588250046,7.75783728815039,8.42759788693068
"A","Balled-and-burlapped",1,1,"Quebic","Quercus","bicolor",2.20813206190378,2.12909668681079,2.79067916514883,0.421629468488105,0.448456862998188,0.58780760488228,2.62976153039189,2.57755354980898,3.37848677003111
"A","Balled-and-burlapped",2,2,"Acesai","Acer","saccharinum",29.3726875267717,27.9675556739018,33.8555118888399,5.47645615442648,5.66538220435685,6.85810432670056,34.8491436811981,33.6329378782587,40.7136162155404
"A","Balled-and-burlapped",2,2,"Betnig","Betula","nigra",6.39558748200521,6.2223539946371,9.72236696695762,1.2136793877394,1.30183748443646,2.03419610578081,7.60926686974461,7.52419147907356,11.7565630727384
"A","Balled-and-burlapped",2,2,"Quebic","Quercus","bicolor",4.55405321609653,4.39993895214776,5.36383897665913,0.861703181405923,0.917239486786537,1.11818026651367,5.41575639750245,5.3171784389343,6.4820192431728
"A","Balled-and-burlapped",2,2,"Quepal","Quercus","palustris",1.57384009526528,1.51607301389273,2.0557183223712,0.302103854527924,0.320882080915943,0.435099871190094,1.8759439497932,1.83695509480867,2.4908181935613
"A","Balled-and-burlapped",2,3,"Acesai","Acer","saccharinum",174.726708925144,167.095136152251,209.768510654926,32.5205393028437,33.5948983528091,42.1545117451983,207.247248227988,200.69003450506,251.923022400124
"A","Balled-and-burlapped",2,3,"Quebic","Quercus","bicolor",10.0260057222087,9.68212456978985,12.0211709686271,1.90198222968434,2.0233378234359,2.51311244692304,11.9279879518931,11.7054623932258,14.5342834155502
"B","Bareroot",1,1,"Moralb","Morus","alba",0.0177222973575442,0.0212228753120251,0.0206179461794003,0.00412417682226389,0.00477327944486495,0.00463722362057606,0.0218464741798081,0.02599615475689,0.0252551697999763
"B","Bareroot",1,1,"Quebic","Quercus","bicolor",6.56407436424799,6.32215756054231,8.62991754823568,1.26227690424231,1.33919712121461,1.82862778852802,7.8263512684903,7.66135468175692,10.4585453367637
"B","Bareroot",2,2,"Acesai","Acer","saccharinum",67.9286300595096,63.5396008922147,66.7315726708001,12.8930622958242,13.273257943875,13.9338453218702,80.8216923553338,76.8128588360896,80.6654179926704
"B","Bareroot",2,2,"Fraxpen","Fraxinus","pennsylvanica",0.154024302024594,0.187654476756529,0.267900152577583,0.0320564768285499,0.0412472304466906,0.0588867201570716,0.186080778853144,0.22890170720322,0.326786872734655
"B","Bareroot",2,2,"Popdel","Populus","deltoides",0.978236875563487,0.946876791666583,1.67365397016048,0.188481464567767,0.20102628522706,0.355324413205549,1.16671834013125,1.14790307689364,2.02897838336603
"B","Bareroot",2,2,"Quebic","Quercus","bicolor",1.19836705056009,1.15063541538513,1.755755464596,0.236334266675046,0.247622470399957,0.378022811458369,1.43470131723514,1.39825788578509,2.13377827605437
"B","Bareroot",2,2,"Quepal","Quercus","palustris",0.216633649676908,0.207529360321161,0.343224581687819,0.043763190730025,0.045185926729071,0.074731212854707,0.260396840406933,0.252715287050232,0.417955794542526
"B","Bareroot",3,3,"Acesai","Acer","saccharinum",81.4433749046059,76.2547994705625,80.7116032871118,15.4376798884292,15.9028249010622,16.8248040536237,96.8810547930351,92.1576243716247,97.5364073407355
"B","Bareroot",3,3,"Fraxpen","Fraxinus","pennsylvanica",0.532055233991639,0.587381010015951,0.821850955823329,0.103784223929051,0.125770753973562,0.175975751012082,0.63583945792069,0.713151763989513,0.997826706835411
"B","Bareroot",3,3,"Popdel","Populus","deltoides",1.64900767677038,1.62056458950642,2.66112815912227,0.31496520289738,0.341446689703724,0.560689408304554,1.96397287966776,1.96201127921014,3.22181756742683
