model,model.label,variable,variable.label,variable.mean,treatment,full.treatment.name,posterior.mean,5,95,25,75
simple,Fixed effects only,MAOC,Mineral-associated organic carbon,87.00273799,A,Balled-and-burlapped,-0.125510642,-0.234811073,-0.008355547,-0.162195327,-0.074011684
simple,Fixed effects only,MAOC,Mineral-associated organic carbon,87.00273799,B,Bareroot,-0.067550498,-0.234849614,0.09962126,-0.125753081,0.003465278
simple,Fixed effects only,MAOC,Mineral-associated organic carbon,87.00273799,C,Seedling,-0.005485629,-0.166508607,0.155412999,-0.068092368,0.058171134
simple,Fixed effects only,MAOC,Mineral-associated organic carbon,87.00273799,D,Acorn,0.089323923,-0.065395641,0.242234148,0.031993503,0.150876741
simple,Fixed effects only,MAOC,Mineral-associated organic carbon,87.00273799,E,Seedbank,0.263893599,0.120186579,0.407457584,0.212667672,0.323829563
simple,Fixed effects only,MAOC,Mineral-associated organic carbon,87.00273799,R,Reference,0.364242358,0.222965792,0.499898712,0.303937459,0.411463672
strip.random,Strip random effects,MAOC,Mineral-associated organic carbon,87.00273799,A,Balled-and-burlapped,-0.127284631,-0.264357978,0.005928749,-0.17317597,-0.070717281
strip.random,Strip random effects,MAOC,Mineral-associated organic carbon,87.00273799,B,Bareroot,-0.068464568,-0.264766029,0.121866635,-0.144077804,0.003866314
strip.random,Strip random effects,MAOC,Mineral-associated organic carbon,87.00273799,C,Seedling,-0.006274527,-0.1910665,0.180546965,-0.078649626,0.063844881
strip.random,Strip random effects,MAOC,Mineral-associated organic carbon,87.00273799,D,Acorn,0.098351198,-0.086985233,0.289192289,0.018313698,0.160832085
strip.random,Strip random effects,MAOC,Mineral-associated organic carbon,87.00273799,E,Seedbank,0.263267141,0.089176322,0.433859916,0.196274691,0.32706011
strip.random,Strip random effects,MAOC,Mineral-associated organic carbon,87.00273799,R,Reference,0.364158636,0.181951605,0.549704454,0.296115324,0.434734358
simple,Fixed effects only,POC,Particulate organic carbon,15.16331936,A,Balled-and-burlapped,-0.061427359,-0.258946563,0.141345938,-0.118651313,0.03605327
simple,Fixed effects only,POC,Particulate organic carbon,15.16331936,B,Bareroot,0.10695215,-0.177157267,0.376304927,0.007659067,0.221753419
simple,Fixed effects only,POC,Particulate organic carbon,15.16331936,C,Seedling,-0.174187311,-0.487191237,0.154849687,-0.286714332,-0.040481076
simple,Fixed effects only,POC,Particulate organic carbon,15.16331936,D,Acorn,-0.000107346,-0.286588023,0.296095749,-0.103845395,0.118271804
simple,Fixed effects only,POC,Particulate organic carbon,15.16331936,E,Seedbank,0.15350185,-0.120965451,0.419438651,0.046431614,0.256671224
simple,Fixed effects only,POC,Particulate organic carbon,15.16331936,R,Reference,0.112891306,-0.161172825,0.388744807,0.011741113,0.221332728
strip.random,Strip random effects,POC,Particulate organic carbon,15.16331936,A,Balled-and-burlapped,-0.069301585,-0.350383267,0.216331675,-0.172419499,0.043924785
strip.random,Strip random effects,POC,Particulate organic carbon,15.16331936,B,Bareroot,0.120000341,-0.249101937,0.494121118,-0.02864992,0.255078339
strip.random,Strip random effects,POC,Particulate organic carbon,15.16331936,C,Seedling,-0.165866707,-0.531924961,0.227550397,-0.313584708,-0.020438216
strip.random,Strip random effects,POC,Particulate organic carbon,15.16331936,D,Acorn,-0.021791889,-0.449065635,0.376263269,-0.168864055,0.144762608
strip.random,Strip random effects,POC,Particulate organic carbon,15.16331936,E,Seedbank,0.15964577,-0.211387999,0.529182784,0.011901134,0.295138881
strip.random,Strip random effects,POC,Particulate organic carbon,15.16331936,R,Reference,0.12915397,-0.352077972,0.617331759,-0.03721898,0.324939133
simple,Fixed effects only,SOC,Soil organic carbon,102.1660574,A,Balled-and-burlapped,-0.112796837,-0.21214602,-0.015188734,-0.147525967,-0.070926424
simple,Fixed effects only,SOC,Soil organic carbon,102.1660574,B,Bareroot,-0.037036595,-0.180116769,0.106995577,-0.088494445,0.022231599
