"model","model.label","variable","variable.label","variable.mean","treatment","full.treatment.name","posterior.mean","5","95","25","75"
"simple","Fixed effects only","n.herb.only","Herbaceous layer richness",14.0555555555556,"A","Balled-and-burlapped",17.0230001205055,14.4173305730081,20.2314693489451,16.1579011293736,18.4072640334833
"simple","Fixed effects only","n.herb.only","Herbaceous layer richness",14.0555555555556,"B","Bareroot",12.6617933114824,10.1534818342281,15.9048108646212,11.953118006849,14.1938628037774
"simple","Fixed effects only","n.herb.only","Herbaceous layer richness",14.0555555555556,"C","Seedling",15.6728267513937,13.0531190428264,18.862374524056,14.8648025159733,17.1122699443942
"simple","Fixed effects only","n.herb.only","Herbaceous layer richness",14.0555555555556,"D","Acorn",14.3345525903942,11.7810628673054,17.5860969308226,13.4943880455004,15.7297765813739
"simple","Fixed effects only","n.herb.only","Herbaceous layer richness",14.0555555555556,"E","Seedbank",6.38923124126087,4.2030616605837,9.86674031267839,5.85339387281504,8.09761253661061
"simple","Fixed effects only","n.herb.only","Herbaceous layer richness",14.0555555555556,"R","Reference",16.3529761864636,13.7503754381033,19.5119135587456,15.4897564363375,17.7213351290362
"strip.random","Strip random effects","n.herb.only","Herbaceous layer richness",14.0555555555556,"A","Balled-and-burlapped",16.7539110787465,12.7450781792371,21.9837447682085,15.4010402427808,18.752949564724
"strip.random","Strip random effects","n.herb.only","Herbaceous layer richness",14.0555555555556,"B","Bareroot",12.6378439846374,9.66122161529272,16.4469376978341,11.5739676019551,14.1321283590967
"strip.random","Strip random effects","n.herb.only","Herbaceous layer richness",14.0555555555556,"C","Seedling",15.6096592268677,12.2095035547009,19.7907415338334,14.4984194506846,17.3498823609381
"strip.random","Strip random effects","n.herb.only","Herbaceous layer richness",14.0555555555556,"D","Acorn",15.032620052062,11.3216262161865,19.9541667332142,13.5996289191948,16.7618861824771
"strip.random","Strip random effects","n.herb.only","Herbaceous layer richness",14.0555555555556,"E","Seedbank",6.48623424454433,4.46705638470865,9.70577529305318,5.82199283254364,7.81116509373268
"strip.random","Strip random effects","n.herb.only","Herbaceous layer richness",14.0555555555556,"R","Reference",16.3662403767321,11.3820869116806,23.0579985898922,14.5500393743759,18.5457069727839
"simple","Fixed effects only","n.tree.only","Tree layer richness",2.11111111111111,"A","Balled-and-burlapped",1.97486216123391,1.10728402728735,3.63632858070146,1.80342417041132,2.79861369910459
"simple","Fixed effects only","n.tree.only","Tree layer richness",2.11111111111111,"B","Bareroot",2.97418766958348,1.98524283739523,4.58687316696818,2.74765717946954,3.7580146686926
"simple","Fixed effects only","n.tree.only","Tree layer richness",2.11111111111111,"C","Seedling",1.97530575068666,1.09512056081546,3.60477098743494,1.81398181316803,2.8144785329353
"simple","Fixed effects only","n.tree.only","Tree layer richness",2.11111111111111,"D","Acorn",1.97451641008402,1.10346497094626,3.62129704888177,1.81745834451405,2.81407399753771
"simple","Fixed effects only","n.tree.only","Tree layer richness",2.11111111111111,"E","Seedbank",1.17373986000052,0.52758046285591,2.66241268442679,1.00585925231839,1.87690856918395
"simple","Fixed effects only","n.tree.only","Tree layer richness",2.11111111111111,"R","Reference",0.980033109200908,0.415944607389945,2.36410059982259,0.833011716151506,1.64804756384011
"strip.random","Strip random effects","n.tree.only","Tree layer richness",2.11111111111111,"A","Balled-and-burlapped",1.91990439983503,0.93605665278478,3.84781387063141,1.64897638718429,2.79151808030369
"strip.random","Strip random effects","n.tree.only","Tree layer richness",2.11111111111111,"B","Bareroot",2.83926716806502,1.64315601006933,4.88200319402462,2.53740167738952,3.77632380777436
"strip.random","Strip random effects","n.tree.only","Tree layer richness",2.11111111111111,"C","Seedling",1.93901823706911,0.997202888267826,3.74343755531245,1.70092041692536,2.77904361836248
"strip.random","Strip random effects","n.tree.only","Tree layer richness",2.11111111111111,"D","Acorn",1.97835150293196,0.966002839554085,4.01968081455294,1.67035100365714,2.82330532419739
"strip.random","Strip random effects","n.tree.only","Tree layer richness",2.11111111111111,"E","Seedbank",1.1299411746643,0.47662107139364,2.60632245604194,0.949033858006469,1.83494236949542
"strip.random","Strip random effects","n.tree.only","Tree layer richness",2.11111111111111,"R","Reference",1.03622031746522,0.378995342940117,2.75350204511407,0.786601101366905,1.69354388019917
"simple","Fixed effects only","n.both.herb.tree","Both tree and herbaceous layer",0.666666666666667,"A","Balled-and-burlapped",0.505453226859405,0.197316746105604,1.28525675820579,0.439179781108027,0.908447577180802
"simple","Fixed effects only","n.both.herb.tree","Both tree and herbaceous layer",0.666666666666667,"B","Bareroot",0.353874812912136,0.126895589354364,0.999773648112239,0.285551003798295,0.655991152944371
"simple","Fixed effects only","n.both.herb.tree","Both tree and herbaceous layer",0.666666666666667,"C","Seedling",0.502886676112548,0.194405753892603,1.28890055724334,0.440203177463369,0.913145968541295
"simple","Fixed effects only","n.both.herb.tree","Both tree and herbaceous layer",0.666666666666667,"D","Acorn",0.504815998755804,0.196851082801969,1.27915804042029,0.444055783232583,0.916883963421264
"simple","Fixed effects only","n.both.herb.tree","Both tree and herbaceous layer",0.666666666666667,"E","Seedbank",0.264135184926382,0.0916261152895583,0.778056429675998,0.201766479118611,0.485662394394612
"simple","Fixed effects only","n.both.herb.tree","Both tree and herbaceous layer",0.666666666666667,"R","Reference",1.39942745161501,0.867136279755334,2.29166079369093,1.31968841587295,1.87614178418266
"strip.random","Strip random effects","n.both.herb.tree","Both tree and herbaceous layer",0.666666666666667,"A","Balled-and-burlapped",0.492403161689581,0.168435992205305,1.39166010106131,0.392744038218498,0.895967911463737
