"elpd_diff","se_diff","elpd","se_elpd","p","se_p","ic","se_ic","variable","variable.label","criterion","model","best.model","model.label"
0,0,3.34038828034867,2.22483424352808,8.37039465071296,1.49851425350062,-6.68077656069735,4.44966848705616,"n.herb.only","Herbaceous layer richness","WAIC","strip.random","Yes","Strip random effects"
-3.44136215608272,1.57957061140515,-0.100973875734041,3.45481080497683,5.61766847252399,1.77946968000025,0.201947751468081,6.90962160995365,"n.herb.only","Herbaceous layer richness","WAIC","simple","No","Fixed effects only"
0,0,0.713947300551945,2.91833331383322,10.9968356305097,2.22249255103973,-1.42789460110389,5.83666662766645,"n.herb.only","Herbaceous layer richness","LOO","strip.random","Yes","Strip random effects"
-1.91662370200709,1.60295575967883,-1.20267640145514,4.06502441502595,6.7193709982451,2.39873093907716,2.40535280291029,8.1300488300519,"n.herb.only","Herbaceous layer richness","LOO","simple","No","Fixed effects only"
0,0,-18.7265676794922,2.64553507955841,4.55895053493693,1.1393770437506,37.4531353589843,5.29107015911683,"n.tree.only","Tree layer richness","WAIC","simple","Yes","Fixed effects only"
-0.0221958775771032,0.783425318818136,-18.7487635570693,2.62397080724814,6.40428311372132,1.48957464198003,37.4975271141385,5.24794161449628,"n.tree.only","Tree layer richness","WAIC","strip.random","No","Strip random effects"
0,0,-19.1937532535607,2.80652603138509,5.02613610900544,1.3089385832907,38.3875065071213,5.61305206277017,"n.tree.only","Tree layer richness","LOO","simple","Yes","Fixed effects only"
-1.02324625978906,1.01233224723845,-20.2169995133497,3.03518985916099,7.87251907000178,1.9052868825921,40.4339990266995,6.07037971832197,"n.tree.only","Tree layer richness","LOO","strip.random","No","Strip random effects"
0,0,-28.0438790429163,3.31499200731713,4.19082340232239,1.47669814812768,56.0877580858327,6.62998401463426,"n.both.herb.tree","Both tree and herbaceous layer","WAIC","simple","Yes","Fixed effects only"
-0.701934883257185,0.519037682272713,-28.7458139261735,3.42167726279398,5.10451187239403,1.70713370337728,57.4916278523471,6.84335452558797,"n.both.herb.tree","Both tree and herbaceous layer","WAIC","strip.random","No","Strip random effects"
0,0,-28.5166772806513,3.58505119688188,4.66362164005738,1.74741235844485,57.0333545613027,7.17010239376377,"n.both.herb.tree","Both tree and herbaceous layer","LOO","simple","Yes","Fixed effects only"
-1.15691360035288,0.728456679635178,-29.6735908810042,3.73476229398678,6.03228882722472,2.05202608386823,59.3471817620084,7.46952458797356,"n.both.herb.tree","Both tree and herbaceous layer","LOO","strip.random","No","Strip random effects"
0,0,0.771909030786903,1.82579117165071,7.31142760911487,1.09611156770875,-1.54381806157381,3.65158234330141,"n.total","Total richness","WAIC","strip.random","Yes","Strip random effects"
-1.6601111211495,0.837330040507387,-0.888202090362594,2.39064732146472,5.22944590169202,1.12933252919842,1.77640418072519,4.78129464292943,"n.total","Total richness","WAIC","simple","No","Fixed effects only"
0,0,-1.04934881023135,2.18796046208285,9.13268545013312,1.4716506421575,2.09869762046269,4.37592092416571,"n.total","Total richness","LOO","strip.random","Yes","Strip random effects"
-0.49256810027663,0.818430647679786,-1.54191691050798,2.61909725978773,5.8831607218374,1.36086772700358,3.08383382101595,5.23819451957547,"n.total","Total richness","LOO","simple","No","Fixed effects only"
0,0,-7.206288663309,2.26509549056907,9.89874167427863,1.53996974924305,14.412577326618,4.53019098113815,"herbaceous.litter.c.stock","Herbaceous litter","WAIC","strip.random","Yes","Strip random effects"
-11.2759833064775,4.16133895959427,-18.4822719697865,5.19373254375395,6.04568428337673,2.86029497395897,36.964543939573,10.3874650875079,"herbaceous.litter.c.stock","Herbaceous litter","WAIC","simple","No","Fixed effects only"
0,0,-12.1668593532155,3.78488021301042,14.8593123641852,3.12627292524273,24.3337187064311,7.56976042602083,"herbaceous.litter.c.stock","Herbaceous litter","LOO","strip.random","Yes","Strip random effects"
-7.54630346913276,4.03732253542842,-19.7131628223483,5.97502795092902,7.27657513593853,3.64719156898398,39.4263256446966,11.950055901858,"herbaceous.litter.c.stock","Herbaceous litter","LOO","simple","No","Fixed effects only"
0,0,-19.3605512683936,3.13273883974954,7.88083937880776,2.12441512454118,38.7211025367872,6.26547767949908,"mixed.biomass.c.stock","Mixed biomass","WAIC","strip.random","Yes","Strip random effects"
-6.2640814075674,3.06432538666843,-25.624632675961,4.35843808712661,5.11190463579822,2.04185787081735,51.249265351922,8.71687617425322,"mixed.biomass.c.stock","Mixed biomass","WAIC","simple","No","Fixed effects only"
0,0,-22.590465050852,4.36940577149261,11.1107531612661,3.48928376710865,45.180930101704,8.73881154298522,"mixed.biomass.c.stock","Mixed biomass","LOO","strip.random","Yes","Strip random effects"
-3.70923196883764,2.82548020523295,-26.2996970196896,4.7458892467747,5.78696897952685,2.44010222631315,52.5993940393793,9.49177849354941,"mixed.biomass.c.stock","Mixed biomass","LOO","simple","No","Fixed effects only"
0,0,24.5977130714453,4.91036627745135,10.6816812110727,3.14829260740699,-49.1954261428907,9.8207325549027,"p.arundinacea.c.stock","P. arundinacea biomass","WAIC","strip.random","Yes","Strip random effects"
-65.9319462479725,11.322638632923,-41.3342331765272,10.2159107843816,8.88018023070934,6.30097431090484,82.6684663530544,20.4318215687632,"p.arundinacea.c.stock","P. arundinacea biomass","WAIC","simple","No","Fixed effects only"
0,0,17.7368627673565,7.28090624258554,17.5425315151615,5.5244506895014,-35.4737255347131,14.5618124851711,"p.arundinacea.c.stock","P. arundinacea biomass","LOO","strip.random","Yes","Strip random effects"
-62.166418732148,14.4185302441489,-44.4295559647914,12.634188194009,11.9755030189736,8.71899367358795,88.8591119295829,25.2683763880179,"p.arundinacea.c.stock","P. arundinacea biomass","LOO","simple","No","Fixed effects only"
0,0,-31.457842906989,3.77505176479669,8.06492543231443,2.23043613114057,62.915685813978,7.55010352959338,"h.japonicus.c.stock","H. japonicus biomass","WAIC","strip.random","Yes","Strip random effects"
-0.727956942247626,2.12723280800995,-32.1857998492366,3.76024291882918,4.37203560053913,1.79852232921146,64.3715996984732,7.52048583765836,"h.japonicus.c.stock","H. japonicus biomass","WAIC","simple","No","Fixed effects only"
0,0,-32.5893810348691,3.9766157224248,4.77561678617164,2.04504624285634,65.1787620697382,7.95323144484959,"h.japonicus.c.stock","H. japonicus biomass","LOO","simple","Yes","Fixed effects only"
-1.15569413358907,2.11759982993649,-33.7450751684582,4.46982859512806,10.3521576937836,3.04100922146573,67.4901503369164,8.93965719025612,"h.japonicus.c.stock","H. japonicus biomass","LOO","strip.random","No","Strip random effects"
0,0,-16.0866088937073,2.14381600815224,8.08495968019764,1.61089702032134,32.1732177874146,4.28763201630447,"herbaceous.biomass.c.stock","Herbaceous biomass","WAIC","strip.random","Yes","Strip random effects"
-9.353094323645,4.14534535993922,-25.4397032173523,4.87333135588152,5.30103543842908,2.54798643814272,50.8794064347046,9.74666271176304,"herbaceous.biomass.c.stock","Herbaceous biomass","WAIC","simple","No","Fixed effects only"
0,0,-19.7358937727291,3.2805946038594,11.7342445592194,2.85479345872561,39.4717875454581,6.56118920771881,"herbaceous.biomass.c.stock","Herbaceous biomass","LOO","strip.random","Yes","Strip random effects"
-6.61120333523814,4.0600508570288,-26.3470971079672,5.4814100607762,6.20842932904397,3.17569297588329,52.6941942159344,10.9628201215524,"herbaceous.biomass.c.stock","Herbaceous biomass","LOO","simple","No","Fixed effects only"
0,0,-0.534865551872946,1.79587303468103,9.63704099217537,1.35903462326703,1.06973110374589,3.59174606936205,"herbaceous.biomass.cn.ratio","Herbaceous biomass C:N ratio","WAIC","strip.random","Yes","Strip random effects"
-7.46130786956625,1.78115627595261,-7.9961734214392,3.11251914221055,5.53978243712621,1.51078450397518,15.9923468428784,6.2250382844211,"herbaceous.biomass.cn.ratio","Herbaceous biomass C:N ratio","WAIC","simple","No","Fixed effects only"
0,0,-3.58135973604287,2.47301278992296,12.6835351763453,2.06906178961723,7.16271947208573,4.94602557984591,"herbaceous.biomass.cn.ratio","Herbaceous biomass C:N ratio","LOO","strip.random","Yes","Strip random effects"
-5.28241809940744,1.63920701464144,-8.86377783545031,3.47082718768818,6.40738685113732,1.87039799872812,17.7275556709006,6.94165437537636,"herbaceous.biomass.cn.ratio","Herbaceous biomass C:N ratio","LOO","simple","No","Fixed effects only"
0,0,21.9800997258529,2.27180757286641,6.53841227349265,1.21774224670903,-43.9601994517058,4.54361514573282,"herbaceous.litter.cn.ratio","Herbaceous litter C:N ratio","WAIC","strip.random","Yes","Strip random effects"
-0.153575639904384,0.591339943329657,21.8265240859485,2.09355209172672,5.2267023974805,1.01456068719794,-43.653048171897,4.18710418345345,"herbaceous.litter.cn.ratio","Herbaceous litter C:N ratio","WAIC","simple","No","Fixed effects only"
0,0,21.1201292307571,2.33667831371979,5.93309725267198,1.25942291265735,-42.2402584615141,4.67335662743957,"herbaceous.litter.cn.ratio","Herbaceous litter C:N ratio","LOO","simple","Yes","Fixed effects only"
-0.809621733705921,0.83013054614395,20.3105074970511,2.81633585479469,8.20800450229442,1.7665163491946,-40.6210149941022,5.63267170958938,"herbaceous.litter.cn.ratio","Herbaceous litter C:N ratio","LOO","strip.random","No","Strip random effects"
0,0,-4.50274260092929,2.94622113429295,7.41305385716935,1.65493564065687,9.00548520185858,5.89244226858589,"fine.woody.debris.cn.ratio","Fine woody debris C:N ratio","WAIC","strip.random","Yes","Strip random effects"
-1.54338648189422,0.540864397679296,-6.04612908282351,3.29698435105217,5.45157835182615,1.69411943098779,12.092258165647,6.59396870210434,"fine.woody.debris.cn.ratio","Fine woody debris C:N ratio","WAIC","simple","No","Fixed effects only"
0,0,-6.54666122200907,3.87746913661218,9.45697247824913,2.57993212896719,13.0933224440181,7.75493827322437,"fine.woody.debris.cn.ratio","Fine woody debris C:N ratio","LOO","strip.random","Yes","Strip random effects"
-0.715199460224341,0.54000647181203,-7.26186068223341,4.06344863790654,6.66730995123604,2.47828206443511,14.5237213644668,8.12689727581308,"fine.woody.debris.cn.ratio","Fine woody debris C:N ratio","LOO","simple","No","Fixed effects only"
0,0,-16.4605518374288,3.03269181357049,6.79472395116574,1.71430133804313,32.9211036748575,6.06538362714098,"total.fwd.carbon","Fine woody debris (< 7.6 cm)","WAIC","strip.random","Yes","Strip random effects"
-0.0477640989958923,0.849454892475187,-16.5083159364247,2.73438273559737,5.41363791362184,1.36364930161609,33.0166318728493,5.46876547119475,"total.fwd.carbon","Fine woody debris (< 7.6 cm)","WAIC","simple","No","Fixed effects only"
0,0,-17.3690705817096,3.12151769735353,6.27439255890677,1.77499795185764,34.7381411634192,6.24303539470705,"total.fwd.carbon","Fine woody debris (< 7.6 cm)","LOO","simple","Yes","Fixed effects only"
-1.10556158640264,1.27557640114847,-18.4746321681122,3.97484680459491,8.8088042818492,2.6953847636568,36.9492643362244,7.94969360918983,"total.fwd.carbon","Fine woody debris (< 7.6 cm)","LOO","strip.random","No","Strip random effects"
0,0,-30.7428262869689,6.66376715171531,6.17988480568455,3.77474010221076,61.4856525739378,13.3275343034306,"total.cwd.carbon","Coarse woody debris (>= 7.6 cm)","WAIC","simple","Yes","Fixed effects only"
