"variable","variable.label","model","model.label","treatment","full.treatment.name","Rhat"
"n.herb.only","Herbaceous layer richness","simple","Fixed effects only","A","Balled-and-burlapped",1.00037142598423
"n.herb.only","Herbaceous layer richness","simple","Fixed effects only","B","Bareroot",1.00033981769438
"n.herb.only","Herbaceous layer richness","simple","Fixed effects only","C","Seedling",1.00014527489144
"n.herb.only","Herbaceous layer richness","simple","Fixed effects only","D","Acorn",1.00020151136542
"n.herb.only","Herbaceous layer richness","simple","Fixed effects only","E","Seedbank",1.00041133135439
"n.herb.only","Herbaceous layer richness","simple","Fixed effects only","R","Reference",1.00011021263699
"n.herb.only","Herbaceous layer richness","strip.random","Strip random effects","A","Balled-and-burlapped",1.00021146600214
"n.herb.only","Herbaceous layer richness","strip.random","Strip random effects","B","Bareroot",1.00032686302501
"n.herb.only","Herbaceous layer richness","strip.random","Strip random effects","C","Seedling",1.00012761127358
"n.herb.only","Herbaceous layer richness","strip.random","Strip random effects","D","Acorn",1.00022343538014
"n.herb.only","Herbaceous layer richness","strip.random","Strip random effects","E","Seedbank",1.00013817719221
"n.herb.only","Herbaceous layer richness","strip.random","Strip random effects","R","Reference",1.00049828250068
"n.tree.only","Tree layer richness","simple","Fixed effects only","A","Balled-and-burlapped",1.00031316740787
"n.tree.only","Tree layer richness","simple","Fixed effects only","B","Bareroot",1.00019817125936
"n.tree.only","Tree layer richness","simple","Fixed effects only","C","Seedling",1.00038371864291
"n.tree.only","Tree layer richness","simple","Fixed effects only","D","Acorn",1.00031209668248
"n.tree.only","Tree layer richness","simple","Fixed effects only","E","Seedbank",1.00021897025758
"n.tree.only","Tree layer richness","simple","Fixed effects only","R","Reference",1.00023914363304
"n.tree.only","Tree layer richness","strip.random","Strip random effects","A","Balled-and-burlapped",1.0002343654685
"n.tree.only","Tree layer richness","strip.random","Strip random effects","B","Bareroot",1.00001958090526
"n.tree.only","Tree layer richness","strip.random","Strip random effects","C","Seedling",1.00005148099413
"n.tree.only","Tree layer richness","strip.random","Strip random effects","D","Acorn",1.00009664854424
"n.tree.only","Tree layer richness","strip.random","Strip random effects","E","Seedbank",1.0000997231494
"n.tree.only","Tree layer richness","strip.random","Strip random effects","R","Reference",1.0002357927879
"n.both.herb.tree","Both tree and herbaceous layer","simple","Fixed effects only","A","Balled-and-burlapped",1.00035971114905
"n.both.herb.tree","Both tree and herbaceous layer","simple","Fixed effects only","B","Bareroot",1.00017076544183
"n.both.herb.tree","Both tree and herbaceous layer","simple","Fixed effects only","C","Seedling",1.00030189676676
"n.both.herb.tree","Both tree and herbaceous layer","simple","Fixed effects only","D","Acorn",1.00027665849901
"n.both.herb.tree","Both tree and herbaceous layer","simple","Fixed effects only","E","Seedbank",1.00030769512409
"n.both.herb.tree","Both tree and herbaceous layer","simple","Fixed effects only","R","Reference",1.00024773975443
"n.both.herb.tree","Both tree and herbaceous layer","strip.random","Strip random effects","A","Balled-and-burlapped",1.00103013774858
"n.both.herb.tree","Both tree and herbaceous layer","strip.random","Strip random effects","B","Bareroot",0.999990551592998
"n.both.herb.tree","Both tree and herbaceous layer","strip.random","Strip random effects","C","Seedling",1.00017292720498
"n.both.herb.tree","Both tree and herbaceous layer","strip.random","Strip random effects","D","Acorn",1.00027016263094
"n.both.herb.tree","Both tree and herbaceous layer","strip.random","Strip random effects","E","Seedbank",1.00027646369606
"n.both.herb.tree","Both tree and herbaceous layer","strip.random","Strip random effects","R","Reference",1.00008867424286
"n.total","Total richness","simple","Fixed effects only","A","Balled-and-burlapped",1.00045094972238
"n.total","Total richness","simple","Fixed effects only","B","Bareroot",1.00070460158499
"n.total","Total richness","simple","Fixed effects only","C","Seedling",1.00029395597375
"n.total","Total richness","simple","Fixed effects only","D","Acorn",1.00015011944945
"n.total","Total richness","simple","Fixed effects only","E","Seedbank",1.00022280084182
"n.total","Total richness","simple","Fixed effects only","R","Reference",1.00022737521354
"n.total","Total richness","strip.random","Strip random effects","A","Balled-and-burlapped",1.0005832594287
"n.total","Total richness","strip.random","Strip random effects","B","Bareroot",1.00043881004867
"n.total","Total richness","strip.random","Strip random effects","C","Seedling",1.00022489384462
"n.total","Total richness","strip.random","Strip random effects","D","Acorn",1.00028018400228
"n.total","Total richness","strip.random","Strip random effects","E","Seedbank",1.00041958657134
"n.total","Total richness","strip.random","Strip random effects","R","Reference",1.00044806740295
"herbaceous.litter.c.stock","Herbaceous litter","simple","Fixed effects only","A","Balled-and-burlapped",1.00040987200978
"herbaceous.litter.c.stock","Herbaceous litter","simple","Fixed effects only","B","Bareroot",1.00026596598463
"herbaceous.litter.c.stock","Herbaceous litter","simple","Fixed effects only","C","Seedling",1.00035641455937
"herbaceous.litter.c.stock","Herbaceous litter","simple","Fixed effects only","D","Acorn",1.00032329173903
"herbaceous.litter.c.stock","Herbaceous litter","simple","Fixed effects only","E","Seedbank",1.00032012705613
"herbaceous.litter.c.stock","Herbaceous litter","simple","Fixed effects only","R","Reference",1.00029801576288
"herbaceous.litter.c.stock","Herbaceous litter","strip.random","Strip random effects","A","Balled-and-burlapped",1.0004456447163
"herbaceous.litter.c.stock","Herbaceous litter","strip.random","Strip random effects","B","Bareroot",1.00043302325706
"herbaceous.litter.c.stock","Herbaceous litter","strip.random","Strip random effects","C","Seedling",1.00006103165284
"herbaceous.litter.c.stock","Herbaceous litter","strip.random","Strip random effects","D","Acorn",1.00017399664688
"herbaceous.litter.c.stock","Herbaceous litter","strip.random","Strip random effects","E","Seedbank",1.00022734740639
"herbaceous.litter.c.stock","Herbaceous litter","strip.random","Strip random effects","R","Reference",1.000117844218
"mixed.biomass.c.stock","Mixed biomass","simple","Fixed effects only","A","Balled-and-burlapped",1.00044113789041
"mixed.biomass.c.stock","Mixed biomass","simple","Fixed effects only","B","Bareroot",1.00053032420356
"mixed.biomass.c.stock","Mixed biomass","simple","Fixed effects only","C","Seedling",1.00047331221703
"mixed.biomass.c.stock","Mixed biomass","simple","Fixed effects only","D","Acorn",1.00021012180419
"mixed.biomass.c.stock","Mixed biomass","simple","Fixed effects only","E","Seedbank",1.00012834488148
"mixed.biomass.c.stock","Mixed biomass","simple","Fixed effects only","R","Reference",1.00049021572875
"mixed.biomass.c.stock","Mixed biomass","strip.random","Strip random effects","A","Balled-and-burlapped",1.00036535396716
"mixed.biomass.c.stock","Mixed biomass","strip.random","Strip random effects","B","Bareroot",1.00008673171878
"mixed.biomass.c.stock","Mixed biomass","strip.random","Strip random effects","C","Seedling",1.00008474040888
"mixed.biomass.c.stock","Mixed biomass","strip.random","Strip random effects","D","Acorn",1.00018891953868
"mixed.biomass.c.stock","Mixed biomass","strip.random","Strip random effects","E","Seedbank",1.00011543226797
"mixed.biomass.c.stock","Mixed biomass","strip.random","Strip random effects","R","Reference",1.00024741290843
"p.arundinacea.c.stock","P. arundinacea biomass","simple","Fixed effects only","A","Balled-and-burlapped",1.0003191633875
"p.arundinacea.c.stock","P. arundinacea biomass","simple","Fixed effects only","B","Bareroot",1.00015063680379
"p.arundinacea.c.stock","P. arundinacea biomass","simple","Fixed effects only","C","Seedling",1.00050656154686
"p.arundinacea.c.stock","P. arundinacea biomass","simple","Fixed effects only","D","Acorn",1.00018051661246
"p.arundinacea.c.stock","P. arundinacea biomass","simple","Fixed effects only","E","Seedbank",1.00093845789729
"p.arundinacea.c.stock","P. arundinacea biomass","simple","Fixed effects only","R","Reference",1.00028191943218
"p.arundinacea.c.stock","P. arundinacea biomass","strip.random","Strip random effects","A","Balled-and-burlapped",1.00171640653113
"p.arundinacea.c.stock","P. arundinacea biomass","strip.random","Strip random effects","B","Bareroot",1.0008972046599
"p.arundinacea.c.stock","P. arundinacea biomass","strip.random","Strip random effects","C","Seedling",1.0003957928968
"p.arundinacea.c.stock","P. arundinacea biomass","strip.random","Strip random effects","D","Acorn",1.00054213413472
"p.arundinacea.c.stock","P. arundinacea biomass","strip.random","Strip random effects","E","Seedbank",1.00143132058417
"p.arundinacea.c.stock","P. arundinacea biomass","strip.random","Strip random effects","R","Reference",1.00061833300754
"h.japonicus.c.stock","H. japonicus biomass","simple","Fixed effects only","A","Balled-and-burlapped",1.00017146710485
"h.japonicus.c.stock","H. japonicus biomass","simple","Fixed effects only","B","Bareroot",1.00043451866468
"h.japonicus.c.stock","H. japonicus biomass","simple","Fixed effects only","C","Seedling",1.0000582672511
"h.japonicus.c.stock","H. japonicus biomass","simple","Fixed effects only","D","Acorn",1.0001534803689
"h.japonicus.c.stock","H. japonicus biomass","simple","Fixed effects only","E","Seedbank",1.00025091212506
"h.japonicus.c.stock","H. japonicus biomass","simple","Fixed effects only","R","Reference",1.00015661836907
"h.japonicus.c.stock","H. japonicus biomass","strip.random","Strip random effects","A","Balled-and-burlapped",1.00024103000422
"h.japonicus.c.stock","H. japonicus biomass","strip.random","Strip random effects","B","Bareroot",1.00008533236432
"h.japonicus.c.stock","H. japonicus biomass","strip.random","Strip random effects","C","Seedling",1.00024429500107
"h.japonicus.c.stock","H. japonicus biomass","strip.random","Strip random effects","D","Acorn",1.0000637380061
"h.japonicus.c.stock","H. japonicus biomass","strip.random","Strip random effects","E","Seedbank",1.00011652790521
"h.japonicus.c.stock","H. japonicus biomass","strip.random","Strip random effects","R","Reference",1.00008931314113
"herbaceous.biomass.c.stock","Herbaceous biomass","simple","Fixed effects only","A","Balled-and-burlapped",1.00068932806787
"herbaceous.biomass.c.stock","Herbaceous biomass","simple","Fixed effects only","B","Bareroot",1.00034881830054
"herbaceous.biomass.c.stock","Herbaceous biomass","simple","Fixed effects only","C","Seedling",1.0002683582262
"herbaceous.biomass.c.stock","Herbaceous biomass","simple","Fixed effects only","D","Acorn",1.00062679438366
"herbaceous.biomass.c.stock","Herbaceous biomass","simple","Fixed effects only","E","Seedbank",1.00066323948329
"herbaceous.biomass.c.stock","Herbaceous biomass","simple","Fixed effects only","R","Reference",1.00047419547188
"herbaceous.biomass.c.stock","Herbaceous biomass","strip.random","Strip random effects","A","Balled-and-burlapped",1.00032730889856
"herbaceous.biomass.c.stock","Herbaceous biomass","strip.random","Strip random effects","B","Bareroot",1.00011180981858
"herbaceous.biomass.c.stock","Herbaceous biomass","strip.random","Strip random effects","C","Seedling",1.00017109836844
