"pool","species","species.mean","treatment","full.treatment.name","Rhat"
"total.cwd.carbon","Unknown",4.31776978069515,"A","Balled-and-burlapped",1.00046074899109
"total.cwd.carbon","Unknown",4.31776978069515,"B","Bareroot",1.00067791545118
"total.cwd.carbon","Unknown",4.31776978069515,"C","Seedling",1.00063787402506
"total.cwd.carbon","Unknown",4.31776978069515,"D","Acorn",1.00042166981865
"total.cwd.carbon","Unknown",4.31776978069515,"E","Seedbank",1.0009116269414
"total.cwd.carbon","Unknown",4.31776978069515,"R","Reference",1.00039340768051
"total.cwd.carbon","Acer saccharinum",0.219765741859189,"A","Balled-and-burlapped",1.00107816396482
"total.cwd.carbon","Acer saccharinum",0.219765741859189,"B","Bareroot",1.00093025694343
"total.cwd.carbon","Acer saccharinum",0.219765741859189,"C","Seedling",1.00057412217583
"total.cwd.carbon","Acer saccharinum",0.219765741859189,"D","Acorn",1.00080376979358
"total.cwd.carbon","Acer saccharinum",0.219765741859189,"E","Seedbank",1.00089459356922
"total.cwd.carbon","Acer saccharinum",0.219765741859189,"R","Reference",1.00091180627852
"total.cwd.carbon","Populus deltoides",0.0535940467870337,"A","Balled-and-burlapped",5.55564830142769
"total.cwd.carbon","Populus deltoides",0.0535940467870337,"B","Bareroot",5.04699177904307
"total.cwd.carbon","Populus deltoides",0.0535940467870337,"C","Seedling",5.26464150882429
"total.cwd.carbon","Populus deltoides",0.0535940467870337,"D","Acorn",5.76392947686542
"total.cwd.carbon","Populus deltoides",0.0535940467870337,"E","Seedbank",4.99857397409281
"total.cwd.carbon","Populus deltoides",0.0535940467870337,"R","Reference",5.05561306568842
"total.cwd.carbon","Salix nigra",1.36000690247716,"A","Balled-and-burlapped",1.00063890847926
"total.cwd.carbon","Salix nigra",1.36000690247716,"B","Bareroot",1.00065584119196
"total.cwd.carbon","Salix nigra",1.36000690247716,"C","Seedling",1.00040956624353
"total.cwd.carbon","Salix nigra",1.36000690247716,"D","Acorn",1.00075019839812
"total.cwd.carbon","Salix nigra",1.36000690247716,"E","Seedbank",1.00083793293968
"total.cwd.carbon","Salix nigra",1.36000690247716,"R","Reference",1.00021060940238
"snag.carbon.min","Fraxinus pennsylvanica",0.472887632356772,"A","Balled-and-burlapped",1.18587771877092
"snag.carbon.min","Fraxinus pennsylvanica",0.472887632356772,"B","Bareroot",1.04438142025603
"snag.carbon.min","Fraxinus pennsylvanica",0.472887632356772,"C","Seedling",1.01209919169864
"snag.carbon.min","Fraxinus pennsylvanica",0.472887632356772,"D","Acorn",1.0413680754135
"snag.carbon.min","Fraxinus pennsylvanica",0.472887632356772,"E","Seedbank",1.0052731265914
"snag.carbon.min","Fraxinus pennsylvanica",0.472887632356772,"R","Reference",1.00640078937989
"snag.carbon.min","Betula nigra",0.0124035303960966,"A","Balled-and-burlapped",1.00349431199612
"snag.carbon.min","Betula nigra",0.0124035303960966,"B","Bareroot",1.00481115059506
"snag.carbon.min","Betula nigra",0.0124035303960966,"C","Seedling",1.00555195565648
"snag.carbon.min","Betula nigra",0.0124035303960966,"D","Acorn",1.00477126549819
"snag.carbon.min","Betula nigra",0.0124035303960966,"E","Seedbank",1.00786214153981
"snag.carbon.min","Betula nigra",0.0124035303960966,"R","Reference",1.00327680884332
"snag.carbon.min","Unknown",0.431529505928275,"A","Balled-and-burlapped",1.00220597467714
"snag.carbon.min","Unknown",0.431529505928275,"B","Bareroot",1.00179609856101
"snag.carbon.min","Unknown",0.431529505928275,"C","Seedling",1.00124705145846
"snag.carbon.min","Unknown",0.431529505928275,"D","Acorn",1.00042520574238
"snag.carbon.min","Unknown",0.431529505928275,"E","Seedbank",1.0013264693417
"snag.carbon.min","Unknown",0.431529505928275,"R","Reference",1.00143796261372
"snag.carbon.min","Quercus bicolor",0.0358341247835042,"A","Balled-and-burlapped",1.00340429629214
