"treatment","full.treatment.name","plot","quadrat","Herbaceous biomass","Herbaceous litter","Fine woody debris","Mixed species","Phalaris arundinacea","Humulus japonicus"
"A","Balled-and-burlapped","1","Q1",28.8888888888889,503.777777777778,314.666666666667,28.8888888888889,0,0
"A","Balled-and-burlapped","1","Q2",112.666666666667,440.333333333333,355.666666666667,112.666666666667,0,0
"A","Balled-and-burlapped","1","Q3",42.5555555555556,390.444444444444,0,42.5555555555556,0,0
"A","Balled-and-burlapped","1","Q4",49.2222222222222,641.555555555556,695,49.2222222222222,0,0
"A","Balled-and-burlapped","1","Q5",18,438.666666666667,283.666666666667,18,0,0
"A","Balled-and-burlapped","2","Q1",359,889.888888888889,0,0,0,359
"A","Balled-and-burlapped","2","Q2",168,650.555555555555,0,0,0,168
"A","Balled-and-burlapped","2","Q3",75.5555555555556,459.777777777778,0,22.1111111111111,0,53.4444444444444
"A","Balled-and-burlapped","2","Q4",117,374.444444444444,375,117,0,0
"A","Balled-and-burlapped","2","Q5",137.666666666667,461.111111111111,287.111111111111,74.5555555555556,0,63.1111111111111
"A","Balled-and-burlapped","3","Q1",115.555555555556,464.111111111111,1056.22222222222,50.5555555555556,0,65
"A","Balled-and-burlapped","3","Q2",80.5555555555555,568.111111111111,248.555555555556,80.5555555555555,0,0
"A","Balled-and-burlapped","3","Q3",7,920.888888888889,85.3333333333333,7,0,0
"A","Balled-and-burlapped","3","Q4",29.4444444444444,301,22.8888888888889,29.4444444444444,0,0
"A","Balled-and-burlapped","3","Q5",61.7777777777778,477.666666666667,424.888888888889,61.7777777777778,0,0
"B","Bareroot","1","Q1",419.111111111111,820.666666666667,621,0,0,419.111111111111
"B","Bareroot","1","Q2",204.333333333333,560.777777777778,281.111111111111,5.77777777777778,0,198.555555555556
"B","Bareroot","1","Q3",3.44444444444444,470.666666666667,1468.66666666667,3.44444444444444,0,0
"B","Bareroot","1","Q4",892.777777777778,621.444444444444,909,892.777777777778,0,0
"B","Bareroot","1","Q5",212.777777777778,1334.88888888889,0,17.7777777777778,45.4444444444444,149.555555555556
