Date,Treatment_Plot,Quadrat,Cover class,Spp,Notes
9/8/2022,A1,Q1,4,Pilea pumila,
9/8/2022,A1,Q1,2,Laportea canadensis,
9/8/2022,A1,Q1,1,Woody debris,
9/8/2022,A1,Q2,5,Pilea pumila,
9/8/2022,A1,Q2,2,Bidens frondosa,
9/8/2022,A1,Q2,2,Persicaria punctata,
9/8/2022,A1,Q2,1,Elymus virginicus,
9/8/2022,A1,Q2,1,Woody debris,
9/8/2022,A1,Q3,5,Pilea pumila,
9/8/2022,A1,Q3,1,Galium aparine,
9/8/2022,A1,Q4,3,Pilea pumila,
9/8/2022,A1,Q4,2,Persicaria punctata,
9/8/2022,A1,Q4,2,Impatiens capensis,
9/8/2022,A1,Q4,2,Woody debris,
9/8/2022,A1,Q4,1,Ulmus americana,
9/8/2022,A1,Q4,1,Boehmeria cylindrica,
9/8/2022,A1,Q4,1,Acer saccharinum,
9/8/2022,A1,Q4,1,Laportea canadensis,
9/8/2022,A1,Q4,1,Toxicodendron radicans,
9/8/2022,A1,Q5,3,Toxicodendron radicans,
9/8/2022,A1,Q5,2,Symphyotrichum ontarionis,
9/8/2022,A1,Q5,2,Leersia virginica,
9/8/2022,A1,Q5,1,Galium aparine,
9/8/2022,A1,Q5,1,Sicyos angulatus,
9/8/2022,A1,Q5,1,Pilea pumila,
9/8/2022,A1,Q5,1,Viola sororia,
9/8/2022,A1,Q5,1,Woody debris,
9/8/2022,A1,Q5,1,Boehmeria cylindrica,
9/8/2022,A1,Q5,1,Fraxinus pennsylvanica,
9/16/2022,A2,Q1,6,Humulus japonicus,
9/16/2022,A2,Q1,0,Woody debris,
9/16/2022,A2,Q1,0,Bareground,
9/16/2022,A2,Q2,6,Humulus japonicus,
9/16/2022,A2,Q2,4,Bareground,
9/16/2022,A2,Q2,<1,Phalaris arundinacea,
9/16/2022,A2,Q2,0,Woody debris,
9/16/2022,A2,Q3,3,Humulus japonicus,
9/16/2022,A2,Q3,2,Urtica gracilis,
9/16/2022,A2,Q3,2,Bareground,
9/16/2022,A2,Q3,1,Persicaria punctata,
9/16/2022,A2,Q3,<1,Smilax tamnoides,
9/16/2022,A2,Q3,<1,Chaerophyllum procumbens,
9/16/2022,A2,Q3,1,Pilea pumila,
9/16/2022,A2,Q3,1,Vitis riparia,
9/16/2022,A2,Q3,0,Woody debris,
9/16/2022,A2,Q4,3,Humulus japonicus,
9/16/2022,A2,Q4,2,Persicaria punctata,
9/16/2022,A2,Q4,1,Sicyos angulatus,
9/16/2022,A2,Q4,1,Pilea pumila,
9/16/2022,A2,Q4,1,Morus alba,
9/16/2022,A2,Q4,1,Fraxinus pennsylvanica,
9/16/2022,A2,Q4,1,Bidens frondosa,
9/16/2022,A2,Q4,1,Vitis riparia,
9/16/2022,A2,Q4,1,Symphyotrichum ontarionis,
9/16/2022,A2,Q4,<1,Galium aparine,
9/16/2022,A2,Q5,6,Humulus japonicus,
9/16/2022,A2,Q5,2,Woody debris,
9/16/2022,A2,Q5,1,Bareground,
9/16/2022,A2,Q5,1,Persicaria punctata,
9/16/2022,A2,Q5,1,Morus alba,
9/16/2022,A2,Q5,<1,Toxicodendron radicans,
9/16/2022,A3,Q1,2,Humulus japonicus,
9/16/2022,A3,Q1,2,Bareground,
9/16/2022,A3,Q1,1,Toxicodendron radicans,
9/16/2022,A3,Q1,<1,Sicyos angulatus,
9/16/2022,A3,Q1,1,Pilea pumila,
9/16/2022,A3,Q1,1,Vitis riparia,
9/16/2022,A3,Q1,1,Carex spp.,
9/16/2022,A3,Q1,<1,Galium aparine,
9/16/2022,A3,Q1,<1,Viola sororia,
9/16/2022,A3,Q1,1,Woody debris,
9/16/2022,A3,Q2,4,Sicyos angulatus,
9/16/2022,A3,Q2,2,Bareground,
9/16/2022,A3,Q2,1,Pilea pumila,
9/16/2022,A3,Q2,1,Galium aparine,
9/16/2022,A3,Q2,1,Symphyotrichum ontarionis,
9/16/2022,A3,Q2,<1,Morus alba,
9/16/2022,A3,Q2,<1,Woody debris,
9/16/2022,A3,Q3,3,Bareground,
